incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD24041202,4/10/2024 2:00:00 AM,4/10/2024 2:00:00 AM,5549,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,YES,1ST DIVISION,111,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,3100 BLOCK PORTLAND AVE,LOUISVILLE,40212,53514
LMPD24040812,4/9/2024 2:08:00 PM,4/9/2024 1:00:00 AM,8064,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,YES,2ND DIVISION,211,PARKING/ DROP LOT/ GARAGE,4100 BLOCK HERMAN ST,LOUISVILLE,40212,53515
LMPD24040920,4/8/2024 11:50:00 PM,4/8/2024 11:50:00 PM,5391,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,YES,3RD DIVISION,331,PARKING/ DROP LOT/ GARAGE,2800 BLOCK DE MEL AVE,LOUISVILLE,40214,53516
LMPD24041340,4/9/2024 5:30:00 AM,4/9/2024 5:30:00 AM,8624,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,YES,5TH DIVISION,521,RESIDENCE/HOME,300 BLOCK S BIRCHWOOD AVE,LOUISVILLE,40206,53517
LMPD24041252,4/8/2024 6:00:00 PM,4/8/2024 6:00:00 PM,5566,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,999,B,NO,7TH DIVISION,735,RESIDENCE/HOME,8900 BLOCK DENISE DR,LOUISVILLE,40219,53518
LMPD24041180,4/10/2024 2:00:00 AM,4/10/2024 2:00:00 AM,5183,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,4TH DIVISION,424,RESTAURANT,3200 BLOCK TAYLOR BLVD,LOUISVILLE,40215,53519
LMPD24040798,4/9/2024 2:08:00 PM,4/9/2024 2:00:00 AM,8358,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,YES,2ND DIVISION,211,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,100 BLOCK N 44TH ST,LOUISVILLE,40212,53520
LMPD24040610,4/8/2024 11:26:00 PM,4/8/2024 11:26:00 PM,5497,11 SIMPLE ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY 508.030 00798 13B,13B,A,YES,3RD DIVISION,334,RESIDENCE/HOME,9100 BLOCK WOODCHAT WAY,LOUISVILLE,40272,53521
LMPD24040692,4/9/2024 5:27:00 AM,4/9/2024 5:45:00 AM,5526,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,13C,A,YES,2ND DIVISION,234,RESIDENCE/HOME,1700 BLOCK DIXDALE AVE,LOUISVILLE,40210,53522
LMPD24901073,4/8/2024 5:55:00 PM,4/8/2024 5:55:00 PM,8185,23 LARCENY,TBUT OR DISP ALL OTHERS 514.030 24095 23H,23H,A,YES,1ST DIVISION,112,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,1900 BLOCK MAGAZINE ST,LOUISVILLE,40203,53523
