incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD25144947,12/5/2025 5:28:00 PM,11/16/2024 5:00:00 AM,8701,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,4TH DIVISION,424,RESIDENCE/HOME,500 BLOCK LONGFIELD AVE,LOUISVILLE,40215,1
LMPD25140113,11/24/2025 4:22:00 AM,7/9/2024 4:00:00 AM,8631,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,8TH DIVISION,824,RESIDENCE/HOME,100 BLOCK LA FONTENAY DR,DOUGLASS HILLS,40223,2
LMPD25139843,11/23/2025 2:37:00 PM,11/15/2024 9:00:00 PM,8560,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,YES,2ND DIVISION,223,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,1300 BLOCK S 26TH ST,LOUISVILLE,40210,3
LMPD25138669,11/20/2025 8:54:00 PM,1/1/2024 5:01:00 AM,8646,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,1ST DIVISION,111,RESIDENCE/HOME,2400 BLOCK NORTHWESTERN PKWY,LOUISVILLE,40212,4
LMPD25138625,11/20/2025 7:29:00 PM,10/29/2024 4:00:00 PM,8544,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,YES,3RD DIVISION,323,RESIDENCE/HOME,200 BLOCK ANGELETTA WAY,LOUISVILLE,40214,5
LMPD25138525,11/20/2025 3:53:00 PM,8/20/2024 4:01:00 AM,8358,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,6TH DIVISION,625,OTHER RESIDENCE (APARTMENT/CONDO),3100 BLOCK CHURCH WAY,LOUISVILLE,40220,6
LMPD25137634,11/18/2025 8:40:00 PM,7/1/2024 4:00:00 AM,8643,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,2ND DIVISION,225,RESIDENCE/HOME,1400 BLOCK STANDARD VILLAGE CIR,LOUISVILLE,40210,7
LMPD25137499,11/18/2025 3:00:00 PM,9/1/2024 4:00:00 AM,4354,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $1,000 < $10,000 514.030 24162 23D",23D,A,YES,6TH DIVISION,625,RESIDENCE/HOME,3100 BLOCK DELL BROOKE AVE,LOUISVILLE,40220,8
LMPD25137160,11/17/2025 7:27:00 PM,11/2/2024 4:00:00 AM,8584,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $10,000 OR MORE 514.040(8)(c) 71289 23H",23H,A,YES,2ND DIVISION,223,RESIDENCE/HOME,2700 BLOCK WOODLAND AVE,LOUISVILLE,40211,9
LMPD25133838,11/10/2025 3:22:00 PM,11/1/2024 4:00:00 AM,5237,12 INTIMIDATION,HARASSMENT (NO PHYSICAL CONTACT) 525.070 02405 13C,13C,A,YES,4TH DIVISION,412,RESIDENCE/HOME,700 BLOCK E ORMSBY AVE,LOUISVILLE,40203,10
LMPD25132715,11/7/2025 4:12:00 PM,12/29/2024 5:00:00 AM,4354,23 THEFT OTHER,TBUT OR DISP FIREARM 514.030 23100 23H,23H,A,YES,7TH DIVISION,711,RESIDENCE/HOME,9800 BLOCK MARY DELL LN,LOUISVILLE,40291,11
LMPD25130069,11/1/2025 6:09:00 PM,11/1/2024 4:00:00 AM,5067,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,3RD DIVISION,323,RENTAL STORAGE FACILITY,8600 BLOCK NATIONAL TPKE,LOUISVILLE,40118,12
LMPD25129939,11/1/2025 8:00:00 AM,11/1/2024 8:00:00 AM,5427,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,13C,A,YES,3RD DIVISION,316,RESIDENCE/HOME,13000 BLOCK ASHLAWN DR,LOUISVILLE,40272,13
LMPD25128095,10/28/2025 12:33:00 PM,10/1/2024 4:00:00 AM,5067,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,13C,A,YES,3RD DIVISION,323,RESIDENCE/HOME,10700 BLOCK JEFFERSON HILL RD,LOUISVILLE,40118,14
LMPD25128095,10/28/2025 12:33:00 PM,10/1/2024 4:00:00 AM,5067,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,NO,3RD DIVISION,323,RESIDENCE/HOME,10700 BLOCK JEFFERSON HILL RD,LOUISVILLE,40118,15
LMPD25126195,10/23/2025 7:58:00 PM,9/1/2024 4:00:00 PM,8544,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,YES,6TH DIVISION,625,AUTO DEALERSHIP NEW/USED,3400 BLOCK BARDSTOWN RD,LOUISVILLE,40218,16
LMPD25126195,10/23/2025 7:58:00 PM,9/1/2024 4:00:00 PM,8544,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $1,000 < $10,000 514.030 24162 23D",23D,A,YES,6TH DIVISION,625,AUTO DEALERSHIP NEW/USED,3400 BLOCK BARDSTOWN RD,LOUISVILLE,40218,17
LMPD25125106,10/21/2025 7:57:00 PM,11/14/2024 5:00:00 AM,8701,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,3RD DIVISION,331,RESIDENCE/HOME,6100 BLOCK LEDGEWOOD PKY,LOUISVILLE,40214,18
LMPD25124618,10/20/2025 7:01:00 PM,9/30/2024 4:00:00 PM,8544,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,YES,3RD DIVISION,323,RESIDENCE/HOME,200 BLOCK ANGELETTA WAY,LOUISVILLE,40214,19
LMPD25123494,10/17/2025 9:09:00 PM,10/27/2024 2:30:00 AM,8665,28 FRAUD CREDIT CARD/ATM,FRAUDULENT USE OF A CREDIT CARD $500 < $1000 434.650(1)(B)(1) 71202 26B,26B,A,YES,6TH DIVISION,625,RESIDENCE/HOME,3000 BLOCK BOAIRES LN,LOUISVILLE,40220,20
LMPD25123437,10/17/2025 6:46:00 PM,1/20/2024 5:00:00 AM,8708,43 PROSTITUTION,HUMAN TRAFFICKING - COMM SEX ACTIVITY (VICTIM< 18) 529.100 40063 64B,64B,A,YES,4TH DIVISION,423,BAR/NIGHTCLUB,3500 BLOCK 7TH STREET RD,LOUISVILLE,40216,21
LMPD25122390,10/15/2025 12:26:00 PM,3/1/2024 5:00:00 AM,4354,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,NO,7TH DIVISION,712,RESIDENCE/HOME,7900 BLOCK CEDAR CREEK RD,LOUISVILLE,40291,22
LMPD25120179,10/10/2025 3:25:00 PM,11/5/2024 5:01:00 AM,8358,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $10,000 OR MORE 514.040(8)(c) 71289 23H",23H,A,YES,1ST DIVISION,112,CHURCH/SYNAGOGUE/TEMPLE/MOSQUE,1700 BLOCK W CHESTNUT ST,LOUISVILLE,40203,23
LMPD25118874,10/7/2025 8:19:00 PM,12/10/2024 5:00:00 AM,8585,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,YES,4TH DIVISION,411,PARKING/ DROP LOT/ GARAGE,900 BLOCK S 2ND ST,LOUISVILLE,40203,24
LMPD25118788,10/7/2025 3:53:00 PM,3/15/2024 4:01:00 AM,8358,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,YES,,,RESIDENCE/HOME,1300 BLOCK HANLY RD,FRANKFORT,40601,25
LMPD25117300,10/3/2025 11:42:00 PM,5/1/2024 4:00:00 PM,8544,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,YES,3RD DIVISION,315,COMMERCIAL/OFFICE BUILDING,5400 BLOCK VALLEY STATION RD,LOUISVILLE,40272,26
LMPD25115704,9/30/2025 1:15:00 PM,4/30/2024 4:00:00 AM,4354,46 FAMILY OFFENSES,KNOWINGLY EXPLOIT ADULT BY PERSON O/$300 209.990(5) 02034 90F,90F,B,NO,4TH DIVISION,424,RESIDENCE/HOME,3300 BLOCK BOHANNON AVE,LOUISVILLE,40215,27
LMPD25114999,9/28/2025 7:37:00 PM,8/1/2024 4:01:00 AM,8646,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,NO,3RD DIVISION,323,RESIDENCE/HOME,9700 BLOCK W MANSLICK RD,LOUISVILLE,40272,28
LMPD25111549,9/20/2025 6:43:00 PM,4/4/2024 4:00:00 PM,8665,22 THEFT MV PARTS,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL 186.990(6) 28200 23G,23G,A,YES,3RD DIVISION,334,COMMERCIAL/OFFICE BUILDING,3100 BLOCK POND STATION RD,LOUISVILLE,40272,29
LMPD25902150,9/10/2025 5:12:00 PM,12/12/2024 6:12:00 PM,8185,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,331,DEPARTMENT/DISCOUNT STORE,6600 BLOCK DIXIE HWY,LOUISVILLE,40258,30
LMPD24106147,9/9/2025 8:56:00 PM,9/6/2024 4:00:00 AM,7235,38 PORNOGRAPHY,POSSESS MATTER SEX PERFORMANCE BY MINOR O/12 < 18 1ST OFF 531.335(3) 37275 370,999,B,NO,1ST DIVISION,111,RESIDENCE/HOME,300 BLOCK N 33RD ST,LOUISVILLE,40212,31
LMPD24106147,9/9/2025 8:56:00 PM,9/6/2024 4:00:00 AM,7235,7 FORCIBLE FONDLING,SEXUAL ABUSE - 1ST DEGREE 510.110 11220 11D,999,B,NO,1ST DIVISION,111,RESIDENCE/HOME,300 BLOCK N 33RD ST,LOUISVILLE,40212,32
LMPD24106147,9/9/2025 8:56:00 PM,9/6/2024 4:00:00 AM,7235,36 INCEST,INCEST PERSON LESS THAN 18 BY PERSON 3 OR MORE YRS OLDER 530.020 36056 36A,36A,A,YES,1ST DIVISION,111,RESIDENCE/HOME,300 BLOCK N 33RD ST,LOUISVILLE,40212,33
LMPD24106147,9/9/2025 8:56:00 PM,9/6/2024 4:00:00 AM,7235,37 STAT RAPE,RAPE - 3RD DEGREE 510.060 11165 36B,999,B,NO,1ST DIVISION,111,RESIDENCE/HOME,300 BLOCK N 33RD ST,LOUISVILLE,40212,34
LMPD24106147,9/9/2025 8:56:00 PM,9/6/2024 4:00:00 AM,7235,5 SODOMY FORCE,SODOMY - 3RD DEGREE 510.090 11205 11B,999,B,NO,1ST DIVISION,111,RESIDENCE/HOME,300 BLOCK N 33RD ST,LOUISVILLE,40212,35
LMPD24106147,9/9/2025 8:56:00 PM,9/6/2024 4:00:00 AM,7235,37 STAT RAPE,PROMOTING A MINOR U/16 IN SEX PERFORMANCE 531.320(2B) 37228 36B,999,B,NO,1ST DIVISION,111,RESIDENCE/HOME,300 BLOCK N 33RD ST,LOUISVILLE,40212,36
LMPD25104639,9/4/2025 7:26:00 PM,4/24/2024 4:00:00 AM,8584,,"THEFT BY DECEPTION INCLUDING COLD CHECKS $10,000 OR MORE EMB514.040(8)(c) 71289E 270",270,A,YES,4TH DIVISION,423,COMMERCIAL/OFFICE BUILDING,1800 BLOCK COMMERCE RD,LOUISVILLE,40208,37
LMPD25104468,9/4/2025 1:09:00 PM,3/28/2024 4:00:00 AM,8631,28 FRAUD CREDIT CARD/ATM,MISUSE OF ELECTRONIC INFO-AUTOMATIC BANKING FUND TRANSFER 434.685(2) 21222 26B,26B,A,YES,7TH DIVISION,724,COMMERCIAL/OFFICE BUILDING,9100 BLOCK SMYRNA PKY,LOUISVILLE,40229,38
LMPD25103458,9/2/2025 12:37:00 PM,4/1/2024 4:00:00 AM,8064,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,NO,2ND DIVISION,236,OTHER/UNKNOWN,3300 BLOCK KRAMERS LN,LOUISVILLE,40216,39
LMPD25101938,8/29/2025 1:51:00 PM,11/16/2024 5:00:00 AM,8560,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,YES,5TH DIVISION,525,RESIDENCE/HOME,100 BLOCK HEADY AVE,RICHLAWN,40207,40
LMPD25100789,8/26/2025 8:35:00 PM,1/23/2024 9:35:00 PM,5522,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $10,000 OR MORE 514.040(8)(c) 71289 23H",23H,A,YES,2ND DIVISION,236,RESIDENCE/HOME,4100 BLOCK SUNSET DR,LOUISVILLE,40216,41
LMPD25096879,8/18/2025 4:36:00 PM,8/29/2024 7:12:00 PM,8499,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,7TH DIVISION,736,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,100 BLOCK I65N,LOUISVILLE,40219,42
LMPD25096545,8/17/2025 5:54:00 PM,12/22/2024 5:01:00 AM,8358,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,YES,8TH DIVISION,811,COMMERCIAL/OFFICE BUILDING,3700 BLOCK DIANN MARIE RD,LOUISVILLE,40241,43
LMPD25094869,8/13/2025 9:32:00 PM,7/5/2024 6:00:00 AM,5388,24 VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE 512.030 01402 290,290,A,YES,2ND DIVISION,223,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,,LOUISVILLE,40211,44
LMPD25094869,8/13/2025 9:32:00 PM,7/5/2024 6:00:00 AM,5388,9 AGGRAVATED ASSAULT,WANTON ENDANGERMENT 1ST - DISCHARGE OF FIREARM 508.060 13204 13A,13A,A,YES,2ND DIVISION,223,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,,LOUISVILLE,40211,45
LMPD25094737,8/13/2025 4:59:00 PM,11/23/2024 11:00:00 PM,5663,56 ALL OTHER OFFENSES,TORTURE OF A DOG OR CAT 525.135 02573 720,720,A,YES,3RD DIVISION,331,RESIDENCE/HOME,6400 BLOCK MARAVIAN DR,LOUISVILLE,40258,46
LMPD25094323,8/12/2025 5:24:00 PM,11/17/2024 5:00:00 AM,8064,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,YES,2ND DIVISION,234,RESIDENCE/HOME,1400 BLOCK S 28TH ST,LOUISVILLE,40211,47
LMPD25092533,8/8/2025 5:03:00 PM,4/12/2024 4:00:00 AM,8585,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $1,000 < $10,000 514.030 24162 23D",23D,A,YES,8TH DIVISION,811,RESIDENCE/HOME,11800 BLOCK OAK BAY DR,LOUISVILLE,40245,48
LMPD25092088,8/7/2025 6:08:00 PM,9/17/2024 4:00:00 PM,8544,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY 516.060 25062 250,250,A,YES,4TH DIVISION,423,CYBERSPACE,1400 BLOCK LONGFIELD AVE,LOUISVILLE,40215,49
LMPD25091671,8/6/2025 7:52:00 PM,11/1/2024 4:01:00 AM,8646,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,YES,6TH DIVISION,624,RESIDENCE/HOME,8100 BLOCK WATTERSON TRL,LOUISVILLE,40299,50
LMPD25091268,8/5/2025 8:41:00 PM,6/18/2024 4:00:00 AM,8584,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,7TH DIVISION,711,RESIDENCE/HOME,8600 BLOCK SHEBLY CT,LOUISVILLE,40291,51
LMPD25047269,4/28/2025 10:27:00 PM,11/8/2024 5:01:00 AM,8646,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,7TH DIVISION,736,RESIDENCE/HOME,3900 BLOCK OAKLEAF LN,LOUISVILLE,40219,52
LMPD25029590,3/18/2025 2:09:00 PM,12/20/2024 5:00:00 AM,8585,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,4TH DIVISION,423,PARKING/ DROP LOT/ GARAGE,900 BLOCK CAMDEN AVE,LOUISVILLE,40215,53
LMPD25012718,2/5/2025 12:31:00 PM,12/12/2024 5:00:00 AM,5522,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,YES,3RD DIVISION,331,DEPARTMENT/DISCOUNT STORE,6800 BLOCK DIXIE HWY,LOUISVILLE,40258,54
LMPD25004875,1/16/2025 3:57:00 PM,12/5/2024 5:00:00 AM,5344,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,1ST DIVISION,112,RENTAL STORAGE FACILITY,1600 BLOCK W BROADWAY,LOUISVILLE,40203,55
LMPD25007765,1/24/2025 5:02:00 PM,3/1/2024 6:05:00 PM,5263,15 UNAUTHORIZED USE,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE 514.100 00701 240,240,A,YES,3RD DIVISION,331,RESIDENCE/HOME,7200 BLOCK BEECHLAND AVE,LOUISVILLE,40258,56
LMPD25026379,2/24/2025 8:38:00 PM,12/2/2024 1:00:00 PM,7269,28 FRAUD CREDIT CARD/ATM,"FRAUDULENT USE OF A CREDIT CARD > $10,000 434.650(1)(B)(4) 71206 26B",26B,A,YES,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO),10000 BLOCK OAK BRIDGE CIR,LOUISVILLE,40219,57
LMPD25012458,2/4/2025 11:19:00 PM,8/21/2024 9:21:00 PM,7004,9 AGGRAVATED ASSAULT,ASSAULT - 1ST DEGREE 508.010 13150 13A,13A,A,YES,1ST DIVISION,123,OTHER RESIDENCE (APARTMENT/CONDO),1000 BLOCK ESQUIRE ALY,LOUISVILLE,40203,58
LMPD25004812,1/16/2025 2:02:00 PM,4/1/2024 4:01:00 AM,8358,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,7TH DIVISION,711,RESIDENCE/HOME,4200 BLOCK STONE LAKES DR,LOUISVILLE,40299,59
LMPD25045589,4/24/2025 5:47:00 PM,11/2/2024 6:00:00 PM,8631,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,YES,3RD DIVISION,331,RESIDENCE/HOME,6400 BLOCK HACKEL DR,LOUISVILLE,40258,60
LMPD25007783,1/24/2025 5:02:00 PM,3/1/2024 8:04:00 PM,5263,15 UNAUTHORIZED USE,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE 514.100 00701 240,240,A,YES,3RD DIVISION,331,RESIDENCE/HOME,7200 BLOCK BEECHLAND AVE,LOUISVILLE,40258,61
LMPD25029567,3/18/2025 12:40:00 PM,5/20/2024 1:00:00 PM,2413,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,YES,,,BANK/SAVINGS AND LOAN,13900 BLOCK PROMENADE GREEN WAY,LOUISVILLE,40245,62
LMPD25026379,2/24/2025 8:38:00 PM,12/2/2024 1:00:00 PM,7269,19 THEFT FR BLDG,TBUT OR DISP FROM BUILDING 514.030 24160 23D,23D,A,YES,7TH DIVISION,735,OTHER RESIDENCE (APARTMENT/CONDO),7400 BLOCK BEECHVIEW WAY,LOUISVILLE,40219,63
LMPD25089674,8/1/2025 10:30:00 PM,11/28/2024 12:00:00 AM,8584,22 THEFT MV PARTS,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL 186.990(6) 28200 23G,23G,A,YES,2ND DIVISION,234,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,,LOUISVILLE,40210,64
LMPD25900362,2/4/2025 10:30:00 PM,12/27/2024 5:00:00 AM,8185,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,8TH DIVISION,811,RESIDENCE/HOME,11000 BLOCK SYMINGTON CIR,LOUISVILLE,40241,65
LMPD25004554,1/15/2025 9:50:00 PM,12/4/2024 5:00:00 AM,8630,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,NO,5TH DIVISION,514,RESIDENCE/HOME,2100 BLOCK DAHLIA AVE,LOUISVILLE,40205,66
LMPD25004520,1/15/2025 7:36:00 PM,12/21/2024 5:00:00 PM,5596,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $500 < $1,000 514.030 24161 23D",23D,A,YES,1ST DIVISION,123,HOTEL/ MOTEL/ ETC.,800 BLOCK W JEFFERSON ST,LOUISVILLE,40202,67
LMPD25004482,1/15/2025 6:44:00 PM,11/1/2024 4:00:00 AM,8373,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,7TH DIVISION,712,RESIDENCE/HOME,11500 BLOCK HICKORY BEND HOLW,LOUISVILLE,40291,68
LMPD25004410,1/15/2025 3:14:00 PM,12/31/2024 5:00:00 AM,7205,4 FORCIBLE RAPE,RAPE - 1ST DEGREE - DOMESTIC VIOLENCE 510.040 10992 11A,11A,A,YES,2ND DIVISION,225,RESIDENCE/HOME,1200 BLOCK MOORE CT,LOUISVILLE,40210,69
LMPD25004395,1/15/2025 2:09:00 PM,12/24/2024 8:00:00 PM,8358,56 ALL OTHER OFFENSES,PROPERTY LOST OR ABANDONED NON CRIMINAL 67.592(1C) 03024 90Z,90Z,B,NO,6TH DIVISION,625,OTHER RESIDENCE (APARTMENT/CONDO),3000 BLOCK MID DALE LN,LOUISVILLE,40220,70
LMPD25004206,1/15/2025 12:23:00 AM,9/12/2024 4:01:00 AM,8646,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,YES,5TH DIVISION,514,RESIDENCE/HOME,1900 BLOCK GLADSTONE AVE,LOUISVILLE,40205,71
LMPD25004205,1/14/2025 11:37:00 PM,9/1/2024 11:00:00 AM,5349,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,4TH DIVISION,423,RENTAL STORAGE FACILITY,1500 BLOCK CRUMS LN,LOUISVILLE,40216,72
LMPD25004209,1/14/2025 10:36:00 PM,11/7/2024 5:00:00 AM,5247,9 AGGRAVATED ASSAULT,WANTON ENDANGERMENT-1ST DEGREE 508.060 13201 13A,13A,A,YES,6TH DIVISION,625,RESIDENCE/HOME,300 BLOCK EL CONQUISTADOR PL,LOUISVILLE,40220,73
LMPD25004148,1/14/2025 9:56:00 PM,12/13/2024 5:00:00 PM,8544,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,6TH DIVISION,613,CYBERSPACE,3500 BLOCK HUON DR,LOUISVILLE,40218,74
LMPD25004129,1/14/2025 9:22:00 PM,12/18/2024 5:00:00 AM,8454,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-1ST DEGREE-IDENTIFY 516.050 25061 250,250,A,YES,4TH DIVISION,423,RESIDENCE/HOME,600 BLOCK DAVIES AVE,LOUISVILLE,40208,75
LMPD25004111,1/14/2025 8:14:00 PM,10/1/2024 4:00:00 AM,8454,23 THEFT OTHER,THEFT BY DECEPTION INCLUDING COLD CHECKS 514.040(8) 71283 23H,23H,A,YES,5TH DIVISION,521,RESIDENCE/HOME,2500 BLOCK RIVER BEND DR,LOUISVILLE,40206,76
LMPD25004095,1/14/2025 3:56:00 PM,8/23/2024 2:56:00 PM,5249,33 STOLEN PROPERTY,"RECEIVING STOLEN PROPERTY $500 < $1,000 514.110(3)(a) 28010 280",999,B,NO,7TH DIVISION,711,SPECIALTY STORE,6800 BLOCK BARDSTOWN RD,LOUISVILLE,40291,77
LMPD25004095,1/14/2025 3:56:00 PM,11/16/2024 5:00:00 AM,5249,33 STOLEN PROPERTY,"RECEIVING STOLEN PROPERTY $1,000 < $10,000 514.110(3)(b) 28012 280",280,A,YES,7TH DIVISION,711,SPECIALTY STORE,6800 BLOCK BARDSTOWN RD,LOUISVILLE,40291,78
LMPD25003976,1/14/2025 2:39:00 PM,11/24/2024 5:00:00 AM,8373,28 FRAUD CREDIT CARD/ATM,FRAUDULENT USE OF A CREDIT CARD 434.650(1)(B) 71200 26B,26B,A,YES,2ND DIVISION,234,RESIDENCE/HOME,3300 BLOCK DUVALLE DR,LOUISVILLE,40211,79
LMPD25003808,1/14/2025 1:08:00 AM,12/17/2024 11:04:00 PM,8646,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,315,GROCERY/ SUPERMARKET,9900 BLOCK DIXIE HWY,LOUISVILLE,40272,80
LMPD25003807,1/14/2025 1:08:00 AM,12/15/2024 12:26:00 AM,8646,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,315,GROCERY/ SUPERMARKET,9900 BLOCK DIXIE HWY,LOUISVILLE,40272,81
LMPD25003806,1/14/2025 1:02:00 AM,12/13/2024 2:35:00 PM,8646,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,315,GROCERY/ SUPERMARKET,9900 BLOCK DIXIE HWY,LOUISVILLE,40272,82
LMPD25003805,1/14/2025 12:59:00 AM,12/8/2024 4:30:00 PM,8646,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,315,GROCERY/ SUPERMARKET,9900 BLOCK DIXIE HWY,LOUISVILLE,40272,83
LMPD25003804,1/14/2025 12:51:00 AM,12/3/2024 3:25:00 PM,8646,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,315,GROCERY/ SUPERMARKET,9900 BLOCK DIXIE HWY,LOUISVILLE,40272,84
LMPD25003729,1/13/2025 9:18:00 PM,12/16/2024 5:00:00 AM,8454,26 COUNTERFEITING,CRIMINAL POSSESSION FORGED INSTRUMENT-1ST DEGREE-IDENTIFY 516.050 25061 250,250,A,YES,2ND DIVISION,223,SPECIALTY STORE,1300 BLOCK GARLAND AVE,LOUISVILLE,40210,85
LMPD25003692,1/13/2025 7:47:00 PM,12/2/2024 5:00:00 PM,8544,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,YES,3RD DIVISION,331,PARKING/ DROP LOT/ GARAGE,4900 BLOCK DIXIE HWY,LOUISVILLE,40216,86
