INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-13-078742,10/13/13 9:36 PM,10/13/13 9:25 PM,CRIMINAL MISCHIEF - 1ST DEGREE,VANDALISM,290,PART II,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME,800 BLOCK S 38TH ST                                         ,LOUISVILLE,40211,118109,1
80-13-045825,6/21/13 2:54 PM,5/1/13 12:00 AM,"TBUT OR DISP ALL OTHERS  $10,000 OR > BUT < $1,000,000",THEFT/LARCENY,23H,PART I,COMPLETED,8TH DIVISION,824,HIGHWAY / ROAD / ALLEY,2000 BLOCK STANLEY GAULT PKY                                ,LOUISVILLE,40223,121255,2
80-13-027653,4/19/13 11:32 PM,4/19/13 3:00 PM,RAPE - 1ST DEGREE,SEX CRIMES,11A,PART I,COMPLETED,1ST DIVISION,111,OTHER / UNKNOWN,PARK - PORTLAND WHARF PARK                                  ,LOUISVILLE,40212,386840,3
80-13-016472,3/8/13 2:13 PM,1/1/13 12:00 AM,RAPE - 1ST DEGREE,SEX CRIMES,11A,PART I,COMPLETED,METRO LOUISVILLE,METRO,RESIDENCE / HOME,COMMUNITY AT LARGE,LOUISVILLE,,386841,4
80-13-011531,2/15/13 10:58 PM,2/15/13 10:58 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY,FETTER AVE / KESWICK BLVD                                   ,LOUISVILLE,40217,800326,5
80-13-056298,7/29/13 1:30 AM,7/29/13 12:39 AM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,8TH DIVISION,812,HIGHWAY / ROAD / ALLEY,LIME KILN LN / U S HIGHWAY 42                               ,NORTHFIELD,40222,800333,6
80-13-056298,7/29/13 1:30 AM,7/29/13 12:39 AM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,8TH DIVISION,812,HIGHWAY / ROAD / ALLEY,LIME KILN LN / U S HIGHWAY 42                               ,NORTHFIELD,40222,800393,7
80-13-022218,3/30/13 6:46 PM,3/30/13 6:46 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY,MARY ST / S SHELBY ST                                       ,LOUISVILLE,40203,800395,8
80-13-047616,6/27/13 10:38 PM,6/27/13 10:38 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,8TH DIVISION,824,HIGHWAY / ROAD / ALLEY,MOSER RD / SHELBYVILLE RD                                   ,DRUID_HILLS,40223,800508,9
80-13-047616,6/27/13 10:38 PM,6/27/13 10:38 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,8TH DIVISION,824,HIGHWAY / ROAD / ALLEY,MOSER RD / SHELBYVILLE RD                                   ,DRUID_HILLS,40223,800637,10
80-13-000907,1/4/13 3:00 PM,1/4/13 2:00 PM,THEFT BY UNLAWFUL TAKING/DISP-SHOPLIFTING -MISD,THEFT/LARCENY,23C,PART I,COMPLETED,3RD DIVISION,315,DEPARTMENT / DISCOUNT STORE,10100 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272,852370,11
80-13-001680,1/8/13 8:35 AM,11/14/12 8:00 AM,"THEFT BY DECEPTION-INCL COLD CHECKS $10,000 OR MORE",THEFT/LARCENY,23H,PART I,COMPLETED,6TH DIVISION,613,OTHER / UNKNOWN,1400 BLOCK HUGH AVE                                         ,LOUISVILLE,40213,852371,12
80-13-001366,1/6/13 8:49 PM,1/6/13 8:49 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE,S 26TH ST / W BROADWAY                                      ,LOUISVILLE,40211,852372,13
80-13-000432,1/2/13 5:24 PM,1/2/13 5:24 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY,RIVER PARK DR AT I264                                       ,LOUISVILLE,40211,852373,14
80-13-001691,1/8/13 10:06 AM,12/17/12 10:15 PM,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,ASSAULT,13B,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME,600 BLOCK S 44TH ST                                         ,LOUISVILLE,40211,852374,15
80-13-033582,5/10/13 4:17 PM,5/9/13 2:00 AM,"RECEIVING STOLEN PROPERTY U/$10,000",THEFT/LARCENY,280,PART II,COMPLETED,4TH DIVISION,435,OTHER / UNKNOWN,4500 BLOCK HAZELWOOD AVE                                    ,LOUISVILLE,40214,852404,16
80-13-001174,1/5/13 8:34 PM,1/5/13 8:00 PM,THEFT BY UNLAWFUL TAKING/DISP-SHOPLIFTING -MISD,THEFT/LARCENY,23C,PART I,COMPLETED,3RD DIVISION,315,DEPARTMENT / DISCOUNT STORE,9900 BLOCK DIXIE HWY                                        ,LOUISVILLE,40272,852408,17
80-13-000938,1/4/13 5:56 PM,1/4/13 5:56 PM,THEFT BY UNLAWFUL TAKING/DISP-SHOPLIFTING -MISD,THEFT/LARCENY,23C,PART I,COMPLETED,3RD DIVISION,315,DEPARTMENT / DISCOUNT STORE,9900 BLOCK DIXIE HWY                                        ,LOUISVILLE,40272,852409,18
80-13-000644,1/3/13 2:51 PM,1/3/13 2:50 PM,THEFT BY UNLAWFUL TAKING/DISP-SHOPLIFTING -MISD,THEFT/LARCENY,23C,PART I,COMPLETED,4TH DIVISION,424,GROCERY / SUPERMARKET,3100 BLOCK S 2ND ST                                         ,LOUISVILLE,40208,852410,19
80-13-001685,1/8/13 9:44 AM,12/24/12 4:49 PM,THEFT BY UNLAWFUL TAKING/DISP-SHOPLIFTING -MISD,THEFT/LARCENY,23C,PART I,COMPLETED,METRO LOUISVILLE,,DEPARTMENT / DISCOUNT STORE,2000 BLOCK BASHFORD MANOR LN                                ,WEST_BUECHEL,40218,852412,20
80-13-001622,1/7/13 9:30 PM,1/7/13 9:00 PM,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,OTHER,90Z,PART II,COMPLETED,1ST DIVISION,123,RESIDENCE / HOME,1200 BLOCK PLACE NOIR                                       ,LOUISVILLE,40203,852416,21
80-13-000245,1/1/13 8:50 PM,1/1/13 8:50 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME,1100 BLOCK INDUSTRIAL BLVD                                  ,LOUISVILLE,40213,852417,22
80-13-001634,1/7/13 10:02 PM,1/7/13 10:02 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY,S 15TH ST / W MUHAMMAD ALI BLVD                             ,LOUISVILLE,40203,852418,23
80-13-001695,1/8/13 8:44 PM,9/27/99 12:01 AM,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,FRAUD,26C,PART II,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME,3000 BLOCK LINWOOD AVE                                      ,LOUISVILLE,40210,852419,24
80-13-000870,1/4/13 3:21 PM,1/4/13 3:21 PM,THEFT BY UNLAWFUL TAKING/DISP-SHOPLIFTING -MISD,THEFT/LARCENY,23C,PART I,COMPLETED,3RD DIVISION,331,DEPARTMENT / DISCOUNT STORE,7100 BLOCK RAGGARD RD                                       ,LOUISVILLE,40216,852420,25
80-13-001376,1/6/13 9:30 PM,1/6/13 9:30 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,1ST DIVISION,135,OTHER RESIDENCE (APARTMENT/CONDO),100 BLOCK W BROADWAY                                        ,LOUISVILLE,40202,852421,26
80-13-001389,1/6/13 11:38 PM,1/6/13 11:38 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,8TH DIVISION,823,HIGHWAY / ROAD / ALLEY,1600 BLOCK FLAT ROCK RD                                     ,LOUISVILLE,40245,852422,27
80-13-001702,1/8/13 9:08 PM,1/8/13 10:35 AM,THEFT BY UNLAWFUL TAKING/DISP-ALL OTHERS -MISD,THEFT/LARCENY,23H,PART I,COMPLETED,3RD DIVISION,322,HIGHWAY / ROAD / ALLEY,8000 BLOCK WOODED RIDGE DR                                  ,LOUISVILLE,40214,852424,28
80-13-071440,9/18/13 4:55 PM,9/18/13 4:55 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,6TH DIVISION,624,HIGHWAY / ROAD / ALLEY,BARDSTOWN RD / SPRING GARDEN DR                             ,LOUISVILLE,40218,186581,29
80-13-094009,12/9/13 6:24 AM,12/7/13 11:00 PM,RECEIVING STOLEN PROPERTY (FIREARM),THEFT/LARCENY,280,PART II,COMPLETED,5TH DIVISION,512,PARKING LOT / GARAGE,900 BLOCK BAXTER AVE                                        ,LOUISVILLE,40204,202846,30
80-13-057930,8/3/13 4:02 PM,6/3/13 8:00 AM,"RECEIVING STOLEN PROPERTY U/$10,000",THEFT/LARCENY,280,PART II,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME,10200 BLOCK ALLENTREE PL                                    ,LOUISVILLE,40229,203182,31
80-13-068381,9/8/13 3:01 PM,9/8/13 2:45 PM,ASSAULT - 4TH DEGREE (MINOR INJURY),ASSAULT,13B,PART II,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME,10200 BLOCK ALLENTREE PL                                    ,LOUISVILLE,40229,203207,32
80-13-095375,12/13/13 1:00 PM,12/13/13 12:55 PM,"THEFT BY DECEPTION-INCL COLD CHECKS U/$10,000",THEFT/LARCENY,23H,PART I,COMPLETED,8TH DIVISION,824,BANK / SAVINGS & LOAN,12900 BLOCK SHELBYVILLE RD                                  ,MIDDLETOWN,40243,241232,33
80-13-050845,7/10/13 1:20 PM,7/10/13 1:00 PM,RAPE - 3RD DEGREE,SEX CRIMES,36B,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,6800 BLOCK BROOKLAWN DR                                     ,LOUISVILLE,40214,280988,34
80-13-022288,3/31/13 12:49 AM,3/31/13 12:49 AM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,8TH DIVISION,815,OTHER / UNKNOWN,LYNDON LN / NEW LA GRANGE RD                                ,LYNDON,40222,601197,35
80-13-003798,1/16/13 3:15 PM,1/16/13 2:51 PM,ASSAULT - 4TH DEGREE (MINOR INJURY),ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,S 2ND ST / W BROADWAY                                       ,LOUISVILLE,40202,860834,36
80-13-003129,1/13/13 8:23 PM,1/13/13 11:00 AM,BURGLARY - 2ND DEGREE,BURGLARY,220,PART I,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME,1200 BLOCK S 1ST ST                                         ,LOUISVILLE,40203,860835,37
80-13-003930,1/16/13 11:10 PM,1/16/13 10:45 PM,ASSAULT - 4TH DEGREE (MINOR INJURY),ASSAULT,13B,PART II,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME,4100 BLOCK GARLAND AVE                                      ,LOUISVILLE,40211,860836,38
80-13-003809,1/16/13 3:12 PM,12/19/12 12:00 PM,"FRAUDULENT USE OF CREDIT CARDS U/$10,000",FRAUD,26B,PART II,COMPLETED,3RD DIVISION,323,OTHER / UNKNOWN,7400 BLOCK OLD NORTH CHURCH RD                              ,LOUISVILLE,40214,860837,39
80-13-003899,1/16/13 7:11 PM,1/13/13 6:00 PM,BURGLARY - 2ND DEGREE,BURGLARY,220,PART I,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME,3200 BLOCK WATSON HILL LN                                   ,LOUISVILLE,40272,860838,40
80-13-003949,1/17/13 5:44 AM,1/16/13 9:30 PM,THEFT BY UNLAWFUL TAKING/DISP-CONTENTS FROM AUTO - MISD,VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,5TH DIVISION,514,HIGHWAY / ROAD / ALLEY,HAWTHORNE AVE / MONTROSE AVE                                ,LOUISVILLE,40205,860839,41
80-13-003956,1/17/13 10:02 AM,1/17/13 9:56 AM,THEFT BY UNLAWFUL TAKING/DISP-CONTENTS FROM AUTO - FELONY,VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME,5300 BLOCK WESTHALL AVE                                     ,LOUISVILLE,40214,860840,42
80-13-003958,1/17/13 5:36 AM,1/16/13 9:00 PM,THEFT BY UNLAWFUL TAKING/DISP-CONTENTS FROM AUTO - MISD,VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME,14800 BLOCK STAR GAZING WAY                                 ,LOUISVILLE,40272,860841,43
80-13-003964,1/17/13 2:40 PM,1/16/13 4:30 PM,CRIMINAL MISCHIEF - 1ST DEGREE,VANDALISM,290,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME,1100 BLOCK E ST CATHERINE ST                                ,LOUISVILLE,40204,860842,44
