incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD25142513,11/29/2025 7:07:00 PM,11/29/2023 7:00:00 PM,5810,23 LARCENY,"TBUT OR DISP ALL OTHERS $1,000 < $10,000 514.030 24097 23H",23H,A,YES,4TH DIVISION,412,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,300 BLOCK W CARDINAL BLVD,LOUISVILLE,40208,1
LMPD25134300,11/11/2025 2:48:00 PM,7/20/2023 4:00:00 AM,8560,56 ALL OTHER OFFENSES,PROPERTY LOST OR ABANDONED NON CRIMINAL 67.592(1C) 03024 90Z,90Z,B,NO,4TH DIVISION,411,RESIDENCE/HOME,1400 BLOCK S 4TH ST,LOUISVILLE,40208,2
LMPD25131896,11/5/2025 10:19:00 PM,9/30/2023 4:00:00 AM,8515,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,YES,3RD DIVISION,334,RESIDENCE/HOME,4700 BLOCK PALMA RD,LOUISVILLE,40272 0000,3
LMPD25128330,10/28/2025 8:47:00 PM,2/20/2023 5:00:00 AM,8702,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,3RD DIVISION,315,CYBERSPACE,9200 BLOCK DONERAIL WAY,LOUISVILLE,40272,4
LMPD25127625,10/27/2025 1:44:00 PM,4/12/2023 4:00:00 AM,8560,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,7TH DIVISION,723,RESIDENCE/HOME,8800 BLOCK MOUNT GERALD CT,LOUISVILLE,40291,5
LMPD25120242,10/10/2025 5:56:00 PM,1/1/2023 5:00:00 PM,8544,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,6TH DIVISION,611,CYBERSPACE,3200 BLOCK PRESTON HWY,LOUISVILLE,40213,6
LMPD25119269,10/8/2025 5:33:00 PM,5/17/2023 4:00:00 PM,5516,46 FAMILY OFFENSES,KNOWINGLY EXPLOIT ADULT BY PERSON O/$300 209.990(5) 02034 90F,90F,B,NO,4TH DIVISION,411,CYBERSPACE,200 BLOCK E BURNETT AVE,LOUISVILLE,40208,7
LMPD25114238,9/26/2025 6:45:00 PM,2/1/2023 5:00:00 AM,8515,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,2ND DIVISION,236,OTHER RESIDENCE (APARTMENT/CONDO),4600 BLOCK TIPSY CIR,LOUISVILLE,40216,8
LMPD25113719,9/25/2025 4:10:00 PM,10/3/2023 4:00:00 AM,8499,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,2ND DIVISION,234,RESIDENCE/HOME,1500 BLOCK S 32ND ST,LOUISVILLE,40211,9
LMPD25110292,9/17/2025 11:00:00 PM,9/17/2023 11:00:00 PM,5411,23 THEFT OTHER,"TBUT OR DISP ALL OTHERS $10,000 < $1,000,000 514.030 24098 23H",23H,A,YES,2ND DIVISION,211,RESIDENCE/HOME,200 BLOCK GLENDORA AVE,LOUISVILLE,40212,10
LMPD25108058,9/12/2025 3:36:00 PM,12/1/2023 5:00:00 AM,7622,27 FRAUD,RECEIVE GOODS ETC BY FRAUD 434.655(1) 71270 26A,26A,A,YES,8TH DIVISION,824,RESIDENCE/HOME,10300 BLOCK DORSEY VILLAGE DR,BLUE RIDGE MANOR,40223,11
LMPD25104624,9/4/2025 6:56:00 PM,1/1/2023 5:00:00 PM,8544,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,3RD DIVISION,323,CYBERSPACE,8000 BLOCK GLIMMER WAY,LOUISVILLE,40214,12
LMPD25095254,8/14/2025 4:43:00 PM,3/28/2023 4:00:00 AM,4354,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,4TH DIVISION,424,RESIDENCE/HOME,2700 BLOCK S 3RD ST,LOUISVILLE,40208,13
LMPD25093874,8/11/2025 6:32:00 PM,5/25/2023 4:00:00 PM,8544,27 FRAUD,"THEFT BY FAIL TO MAKE REQ DISP OF PROPERTY $1,000 < $10,000 514.070(4)(b) 23494 26A",26A,A,YES,5TH DIVISION,512,COMMERCIAL/OFFICE BUILDING,100 BLOCK S SPRING ST,LOUISVILLE,40206,14
LMPD25093899,8/11/2025 6:23:00 PM,8/15/2023 4:00:00 AM,5247,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,6TH DIVISION,625,RENTAL STORAGE FACILITY,3400 BLOCK BARDSTOWN RD,LOUISVILLE,40218,15
LMPD25067766,6/13/2025 10:09:00 PM,7/13/2023 4:00:00 AM,7010,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,2ND DIVISION,212,RESIDENCE/HOME,700 BLOCK DEARBORN AVE,LOUISVILLE,40211,16
LMPD25063650,6/4/2025 11:27:00 AM,7/25/2023 4:00:00 AM,4354,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,YES,4TH DIVISION,411,OTHER RESIDENCE (APARTMENT/CONDO),500 BLOCK W HILL ST,LOUISVILLE,40208,17
LMPD25063217,6/3/2025 12:56:00 PM,8/8/2023 4:00:00 PM,8358,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $1,000 < $10,000 514.030 24162 23D",23D,A,YES,1ST DIVISION,135,DRUG STORE/DOCTOR'S OFFICE/HOSPITAL,500 BLOCK S JACKSON ST,LOUISVILLE,40202,18
LMPD25060596,5/28/2025 6:31:00 PM,12/15/2023 5:00:00 PM,5258,13 BURGLARY,BURGLARY - 1ST DEGREE 511.020 22060 220,220,A,YES,4TH DIVISION,411,RESIDENCE/HOME,100 BLOCK E ORMSBY AVE,LOUISVILLE,40203,19
