INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-16-080765,9/20/16 12:42 PM,9/14/16 7:30 AM,HARASSMENT (NO PHYSICAL CONTACT),ASSAULT,13C,PART II,COMPLETED,5TH DIVISION,525,RESIDENCE / HOME,3900 BLOCK LELAND RD                                        ,BELLEWOOD,40207,34,1
80-16-064276,7/29/16 2:38 PM,7/28/16 11:30 PM,RECEIVING STOLEN PROPERTY (FIREARM),THEFT/LARCENY,280,PART II,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME,8400 BLOCK SILVER FOX RD                                    ,LOUISVILLE,40291,325,2
80-16-000805,3/7/16 9:59 AM,2/28/04 12:00 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,4TH DIVISION,412,OTHER / UNKNOWN,700 BLOCK S SHELBY ST                                       ,LOUISVILLE,40203,521,3
80-16-099509,11/21/16 9:53 AM,1/18/04 8:00 PM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,2ND DIVISION,225,OTHER / UNKNOWN,1400 BLOCK STANDARD VILLAGE CIR                             ,LOUISVILLE,40210,522,4
80-16-099506,11/21/16 9:53 AM,7/19/04 7:00 PM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,4TH DIVISION,436,OTHER / UNKNOWN,100 BLOCK E WOODLAWN AVE                                    ,LOUISVILLE,40214,960,5
80-16-099523,11/21/16 9:53 AM,6/24/04 3:30 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,4TH DIVISION,412,OTHER / UNKNOWN,1100 BLOCK ASH ST                                           ,LOUISVILLE,40217,961,6
80-16-099530,11/21/16 9:53 AM,5/14/04 1:00 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,1ST DIVISION,123,OTHER / UNKNOWN,S 12TH ST / W JEFFERSON ST                                  ,LOUISVILLE,40203,1063,7
80-16-099535,11/21/16 9:53 AM,8/2/07 9:00 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,2ND DIVISION,223,OTHER / UNKNOWN,2100 BLOCK DUMESNIL ST                                      ,LOUISVILLE,40210,1064,8
80-16-099536,11/21/16 9:53 AM,7/27/07 12:30 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,8TH DIVISION,815,OTHER / UNKNOWN,1400 BLOCK STONEWALL WAY                                    ,LOUISVILLE,40242,1065,9
80-16-099537,11/21/16 9:53 AM,7/23/07 1:00 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,1ST DIVISION,111,OTHER / UNKNOWN,N 22ND ST / BANK ST                                         ,LOUISVILLE,40203,1066,10
80-16-099538,11/21/16 9:53 AM,7/23/07 7:30 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,6TH DIVISION,612,OTHER / UNKNOWN,4700 BLOCK PRESTON HWY                                      ,LOUISVILLE,40213,1067,11
80-16-099545,11/21/16 9:53 AM,10/20/07 8:00 PM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,2ND DIVISION,225,OTHER / UNKNOWN,2100 BLOCK W LEE ST                                         ,LOUISVILLE,40210,1070,12
80-16-099531,11/21/16 9:53 AM,6/8/04 5:30 PM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,6TH DIVISION,611,OTHER / UNKNOWN,2500 BLOCK GREENUP RD                                       ,LOUISVILLE,40217,1435,13
80-16-099533,11/21/16 9:53 AM,8/19/07 6:00 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,8TH DIVISION,812,OTHER / UNKNOWN,6400 BLOCK LIME RIDGE PL                                    ,LOUISVILLE,40222,1436,14
80-16-099534,11/21/16 9:53 AM,8/17/07 12:45 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,1ST DIVISION,112,OTHER / UNKNOWN,2800 BLOCK MAGAZINE ST                                      ,LOUISVILLE,40211,1437,15
80-16-099539,11/21/16 9:53 AM,6/6/07 12:01 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,4TH DIVISION,423,OTHER / UNKNOWN,1800 BLOCK BERRY BLVD                                       ,LOUISVILLE,40215,1438,16
80-16-099540,11/21/16 9:53 AM,7/8/07 1:30 AM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,6TH DIVISION,612,OTHER / UNKNOWN,5000 BLOCK PRESTON HWY                                      ,LOUISVILLE,40213,1439,17
80-16-099541,11/21/16 9:53 AM,6/28/07 5:30 PM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,METRO LOUISVILLE,METRO,OTHER / UNKNOWN,COMMUNITY AT LARGE,LOUISVILLE,,1440,18
80-16-099543,11/21/16 9:53 AM,4/17/07 7:30 PM,COLD CASE REPORT NUMBER,OTHER,999,,COMPLETED,4TH DIVISION,412,OTHER / UNKNOWN,900 BLOCK MULBERRY ST                                       ,LOUISVILLE,40217,1441,19
80-16-004308,1/12/16 6:24 PM,1/12/16 6:00 PM,"TBUT OR DISP ALL OTHERS > $500 BUT < $10,000",THEFT/LARCENY,23H,PART I,COMPLETED,4TH DIVISION,411,BAR / NIGHT CLUB,400 BLOCK W ORMSBY AVE                                      ,LOUISVILLE,40203,1664,20
80-16-052915,6/23/16 12:56 AM,5/15/16 12:28 PM,RECEIVING STOLEN PROPERTY U/$500 MISD,THEFT/LARCENY,280,PART II,COMPLETED,6TH DIVISION,613,PARKING LOT / GARAGE,3500 BLOCK LEITH LN                                         ,LOUISVILLE,40218,2197,21
80-16-079007,9/15/16 8:36 AM,9/13/16 6:30 PM,RECEIVING STOLEN PROPERTY (FIREARM),THEFT/LARCENY,280,PART II,COMPLETED,8TH DIVISION,815,HIGHWAY / ROAD / ALLEY,9500 BLOCK BLAIRWOOD RD                                     ,LOUISVILLE,40222,2851,22
80-16-066218,8/4/16 2:55 PM,1/1/12 12:00 AM,CACU UNSUBSTANTIATED CASES,OTHER,999,,ATTEMPTED,5TH DIVISION,514,RESIDENCE / HOME,2100 BLOCK TYLER LN                                         ,LOUISVILLE,40205,51583,23
80-16-060292,7/16/16 12:51 PM,7/16/16 6:40 AM,INTIMIDATING A PARTICIPANT IN LEGAL PROCESS,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,612,OTHER RESIDENCE (APARTMENT/CONDO),5100 BLOCK GEMMA WAY                                        ,LOUISVILLE,40219,51953,24
80-16-102843,12/2/16 12:43 PM,12/2/16 10:30 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,3RD DIVISION,315,SCHOOL - ELEMENTARY / SECONDARY,10200 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272,52017,25
80-16-104624,12/8/16 8:30 AM,12/8/16 8:00 AM,TERRORISTIC THREATENING 2ND DEGREE,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,315,SCHOOL - ELEMENTARY / SECONDARY,10200 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272,52018,26
80-16-106592,12/14/16 5:31 PM,12/11/16 5:30 PM,RECEIVING STOLEN PROPERTY (FIREARM),THEFT/LARCENY,280,PART II,COMPLETED,6TH DIVISION,613,OTHER / UNKNOWN,4900 BLOCK BETHUNE CT                                       ,LOUISVILLE,40218,79860,27
80-16-020038,3/9/16 6:46 AM,3/9/16 6:20 AM,RECEIVING STOLEN PROPERTY (FIREARM),THEFT/LARCENY,280,PART II,COMPLETED,4TH DIVISION,436,CONVENIENCE STORE,S 3RD ST / W WOODLAWN AVE                                   ,LOUISVILLE,40214,79983,28
80-16-110558,12/28/16 5:26 PM,5/1/16 7:00 AM,CACU UNSUBSTANTIATED CASES,OTHER,999,,COMPLETED,METRO LOUISVILLE,WB,SCHOOL - ELEMENTARY / SECONDARY,1900 BLOCK BASHFORD MANOR LN                                ,WEST_BUECHEL,40218,80065,29
80-16-084302,10/1/16 11:25 PM,10/1/16 11:25 PM,OVERDOSE,OTHER,999,,COMPLETED,1ST DIVISION,135,DRUG STORE/DR`S OFFICE/HOSPITAL,200 BLOCK E CHESTNUT ST                                     ,LOUISVILLE,40202,118113,30
80-16-090216,10/20/16 11:36 PM,10/20/16 11:36 PM,OVERDOSE,OTHER,999,,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME,100 BLOCK E WHITNEY AVE                                     ,LOUISVILLE,40214,118126,31
80-16-082895,9/27/16 9:30 PM,9/26/16 8:00 AM,RECEIVING STOLEN PROPERTY (FIREARM),THEFT/LARCENY,280,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,N 4TH ST / W RIVER RD                                       ,LOUISVILLE,40202,14082,32
