INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,BADGE_ID,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-21-006170,2021-01-31 17:48:00,2021-01-01 17:48:00,5149            ,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP PARTS FROM VEHICLE $500 OR > BUT < $10,000",23G,PART I,COMPLETED,3RD DIVISION,315,PARKING LOT / GARAGE                         ,5400 BLOCK VALLEY STATION RD                                ,LOUISVILLE,40272,5914
80-21-006171,2021-01-31 17:34:00,2021-01-31 16:34:00,7402            ,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3600 BLOCK MANSLICK RD                                      ,LOUISVILLE,40215,5915
80-21-006171,2021-01-31 17:34:00,2021-01-31 16:34:00,7402            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3600 BLOCK MANSLICK RD                                      ,LOUISVILLE,40215,5916
80-21-006173,2021-01-31 18:30:00,2021-01-31 17:55:00,5272            ,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,1100 BLOCK S 8TH ST                                         ,LOUISVILLE,40203,5917
80-21-006173,2021-01-31 18:30:00,2021-01-31 17:55:00,5272            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,1100 BLOCK S 8TH ST                                         ,LOUISVILLE,40203,5918
80-21-006173,2021-01-31 18:30:00,2021-01-31 17:55:00,5272            ,BURGLARY,BURGLARY - 1ST DEGREE,220,PART I,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,1100 BLOCK S 8TH ST                                         ,LOUISVILLE,40203,5919
80-21-006174,2021-01-31 18:02:00,2021-01-31 18:00:00,7427            ,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,4900 BLOCK SADDLEBROOK LN                                   ,LOUISVILLE,40216,5920
80-21-006175,2021-01-31 18:59:00,2021-01-31 08:00:00,7116            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,0 BLOCK COLONIAL OAKS CT                                    ,LOUISVILLE,40214,5921
80-21-006177,2021-01-31 19:26:00,2021-01-31 19:22:00,5198            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,7TH DIVISION,736,RESTAURANT                                   ,9500 BLOCK PRESTON HWY                                      ,LOUISVILLE,40229,5922
80-21-006178,2021-01-31 19:00:00,2021-01-31 17:15:00,5300            ,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,4TH DIVISION,412,HOMELESS SHELTER / MISSION                   ,1300 BLOCK S PRESTON ST                                     ,LOUISVILLE,40208,5923
80-21-006179,2021-01-31 19:30:00,2021-01-31 18:30:00,7466            ,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME                             ,3200 BLOCK MELODY ACRES LN                                  ,LOUISVILLE,40216,5924
80-21-006180,2021-01-31 19:32:00,2021-01-31 18:32:00,5213            ,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,1400 BLOCK ST JAMES CT                                      ,LOUISVILLE,40208,5925
80-21-006181,2021-01-31 19:32:00,2021-01-31 18:32:00,5267            ,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,500 BLOCK BELGRAVIA CT                                      ,LOUISVILLE,40208,5926
80-21-006182,2021-01-31 19:53:00,2021-01-31 19:46:00,5329            ,OTHER,LEAVING SCENE OF ACCIDENT/FAILURE TO RENDER AID OR ASSISTANC,999,,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,2300 BLOCK NORTHWESTERN PKY                                 ,LOUISVILLE,40212,5927
80-21-006182,2021-01-31 19:53:00,2021-01-31 19:46:00,5329            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,2300 BLOCK NORTHWESTERN PKY                                 ,LOUISVILLE,40212,5928
80-21-006184,2021-01-31 20:20:00,2021-01-31 20:00:00,8249            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,4TH DIVISION,412,RESTAURANT                                   ,400 BLOCK EASTERN PKY                                       ,LOUISVILLE,40217,5929
80-21-006186,2021-01-31 20:04:00,2021-01-31 19:04:00,7483            ,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,3RD DIVISION,331,GROCERY / SUPERMARKET                        ,4900 BLOCK DIXIE HWY                                        ,LOUISVILLE,40216,5930
80-21-006188,2021-01-31 19:41:00,2021-01-30 15:00:00,7037            ,OTHER,DEATH INVESTIGATION  (OVERDOSE),999,,COMPLETED,1ST DIVISION,135,HOTEL / MOTEL / ETC.                         ,100 BLOCK E JEFFERSON ST                                    ,LOUISVILLE,40202,5931
80-21-006187,2021-01-31 20:26:00,2021-01-31 19:54:00,7120            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME                             ,6500 BLOCK GREEN MANOR DR                                   ,LOUISVILLE,40228,5932
80-21-006189,2021-01-31 20:38:00,2021-01-30 23:00:00,8050            ,THEFT/LARCENY,THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE MISD,23H,PART I,COMPLETED,4TH DIVISION,412,OTHER / UNKNOWN                              ,1500 BLOCK S SHELBY ST                                      ,LOUISVILLE,40217,5933
