INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-04-203312,1/29/04 10:20 AM,1/29/04 10:20 AM,OPER MOTOR VEH U/INFLUENCE ALC/DRUGS/ETC  .08- 1ST OFF,DUI,90D,PART II,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY,S 23RD ST / W BURNETT AVE                                   ,LOUISVILLE,40210,17556,1
80-04-800064,5/22/04 10:20 PM,5/21/04 10:20 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY,700 BLOCK M ST                                              ,LOUISVILLE,40208,29447,2
80-04-203312,1/29/04 10:20 AM,1/29/04 10:20 AM,LEAVING SCENE OF ACCIDENT/FAILURE TO RENDER AID OR ASSISTANC,OTHER,0,,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY,S 23RD ST / W BURNETT AVE                                   ,LOUISVILLE,40210,17766,3
80-04-203312,1/29/04 10:20 AM,1/29/04 10:20 AM,FAILURE OF OWNER TO MAINTAIN REQUIRED INS/SECURITY 1ST OFF,OTHER,90Z,PART II,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY,S 23RD ST / W BURNETT AVE                                   ,LOUISVILLE,40210,17767,4
80-04-137493,12/18/04 4:40 PM,12/18/04 4:00 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME,5200 BLOCK RUSSETT BLVD                                     ,LOUISVILLE,40218,17904,5
80-05-229840,12/8/04 6:00 AM,8/5/94 12:02 AM,RAPE - 1ST DEGREE - VICTIM U/12 YEARS OF AGE,SEX CRIMES,11A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME,1200 BLOCK CENTRAL AVE                                      ,LOUISVILLE,40208,29893,6
80-04-136767,12/12/04 12:10 AM,12/12/04 10:00 AM,BURGLARY - 2ND DEGREE,BURGLARY,220,PART I,ATTEMPTED,6TH DIVISION,611,RESIDENCE / HOME,1000 BLOCK GREENLEAF RD                                     ,LOUISVILLE,40213,18079,7
80-04-247695,12/30/04 10:00 AM,12/30/04 2:30 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,4TH DIVISION,436,PARKING LOT / GARAGE,4700 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,18206,8
80-05-229840,12/8/04 6:00 AM,8/5/94 12:02 AM,SODOMY - 1ST DEGREE - VICTIM U/12 YEARS OF AGE,OTHER,0,,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME,1200 BLOCK CENTRAL AVE                                      ,LOUISVILLE,40208,29993,9
80-04-121959,7/23/04 10:00 PM,4/23/04 6:00 PM,THEFT BY DECEPTION-INCLUDE COLD CHECKS O/$300,THEFT/LARCENY,23H,PART I,COMPLETED,3RD DIVISION,331,BANK / SAVINGS & LOAN,5200 BLOCK DIXIE HWY                                        ,LOUISVILLE,40216,31455,10
