INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,BADGE_ID,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-22-000334,2022-01-02 16:49:00,2022-01-02 15:49:00,5276            ,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-HEROIN,35A,PART II,COMPLETED,6TH DIVISION,625,RESTAURANT                                   ,3400 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40218,1
80-22-000333,2022-01-02 18:14:00,2022-01-02 18:00:00,5363            ,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,6TH DIVISION,624,OTHER RESIDENCE (APARTMENT/CONDO)            ,4300 BLOCK NEWPORT RD                                       ,LOUISVILLE,40218,2
80-22-000335,2022-01-02 18:37:00,2022-01-01 21:00:00,8063            ,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,4000 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,3
80-22-000336,2022-01-02 18:31:00,2022-01-02 18:14:00,7381            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,2ND DIVISION,223,OTHER RESIDENCE (APARTMENT/CONDO)            ,1400 BLOCK BEECH ST                                         ,LOUISVILLE,40211,4
80-22-000338,2022-01-02 18:51:00,2022-01-02 18:20:00,8063            ,THEFT/LARCENY,"TBUT OR DISP SHOPLIFTING $500 < $1,000",23C,PART I,COMPLETED,3RD DIVISION,323,DEPARTMENT / DISCOUNT STORE                  ,100 BLOCK OUTER LOOP                                        ,LOUISVILLE,40214,5
80-22-000339,2022-01-02 18:57:00,2022-01-01 19:00:00,8063            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,7TH DIVISION,724,PARKING LOT / GARAGE                         ,9700 BLOCK PRESTON HWY                                      ,LOUISVILLE,40229,6
80-22-000339,2022-01-02 18:57:00,2022-01-01 19:00:00,8063            ,VEHICLE BREAK-IN/THEFT,"TBUT PARTS FROM VEHICLE $1,000 < $10,000",23G,PART I,COMPLETED,7TH DIVISION,724,PARKING LOT / GARAGE                         ,9700 BLOCK PRESTON HWY                                      ,LOUISVILLE,40229,7
80-22-000341,2022-01-02 19:13:00,2022-01-02 14:00:00,8063            ,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $1,000 < $10,000",23F,PART I,COMPLETED,7TH DIVISION,736,PARKING LOT / GARAGE                         ,2800 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40213,8
80-22-000343,2022-01-02 19:21:00,2022-01-02 15:00:00,8063            ,THEFT/LARCENY,THEFT BY DECEPTION INCLUDE COLD CHECKS CLASS A 3+ IN 5 YRS,23H,PART I,COMPLETED,1ST DIVISION,134,OTHER RESIDENCE (APARTMENT/CONDO)            ,1600 BLOCK RIVER SHORE DR                                   ,LOUISVILLE,40206,9
80-22-000345,2022-01-02 19:12:00,2022-01-02 19:12:00,5349            ,OTHER,DEATH INVESTIGATION  (OVERDOSE),999,,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,1000 BLOCK E BRECKINRIDGE ST                                ,LOUISVILLE,40204,10
