INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,BADGE_ID,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-22-000346,2022-01-02 19:36:00,2022-01-02 19:20:00,8063            ,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO)            ,3700 BLOCK FALCON CREST DR                                  ,LOUISVILLE,40219,11
80-22-000347,2022-01-02 19:41:00,2022-01-02 19:30:00,8063            ,THEFT/LARCENY,TBUT OR DISP ALL OTHERS,23H,PART I,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,100 BLOCK OUTER LOOP                                        ,LOUISVILLE,40214,12
80-22-000347,2022-01-02 19:41:00,2022-01-02 19:30:00,8063            ,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING,23C,PART I,COMPLETED,3RD DIVISION,323,DEPARTMENT / DISCOUNT STORE                  ,100 BLOCK OUTER LOOP                                        ,LOUISVILLE,40214,13
80-22-000348,2022-01-02 19:02:00,2022-01-02 18:30:00,7489            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,211,CONVENIENCE STORE                            ,4100 BLOCK W MARKET ST                                      ,LOUISVILLE,40212,14
80-22-000349,2022-01-02 19:48:00,2022-01-01 14:00:00,8063            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,1ST DIVISION,112,OTHER RESIDENCE (APARTMENT/CONDO)            ,500 BLOCK S 18TH ST                                         ,LOUISVILLE,40203,15
80-22-000352,2022-01-02 20:35:00,2022-01-02 19:55:00,5198            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME                             ,5500 BLOCK HASBROOK DR                                      ,LOUISVILLE,40229,16
80-22-000353,2022-01-02 19:42:00,2022-01-02 18:42:00,7465            ,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-3RD OR > OFFENSE-HEROIN,35A,PART II,COMPLETED,7TH DIVISION,723,DEPARTMENT / DISCOUNT STORE                  ,7100 BLOCK CEDAR SPRINGS BLVD                               ,LOUISVILLE,40291,17
80-22-000353,2022-01-02 19:42:00,2022-01-02 18:42:00,7465            ,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-3RD DEGREE--DRUG UNSPECIFIED,35A,PART II,COMPLETED,7TH DIVISION,723,DEPARTMENT / DISCOUNT STORE                  ,7100 BLOCK CEDAR SPRINGS BLVD                               ,LOUISVILLE,40291,18
80-22-000354,2022-01-02 19:47:00,2022-01-02 19:42:00,7465            ,THEFT/LARCENY,"TBUT OR DISP ALL OTHERS $500 < $1,000",23H,PART I,COMPLETED,7TH DIVISION,723,DEPARTMENT / DISCOUNT STORE                  ,7100 BLOCK CEDAR SPRINGS BLVD                               ,LOUISVILLE,40291,19
80-22-000354,2022-01-02 19:47:00,2022-01-02 19:42:00,7465            ,THEFT/LARCENY,"TBUT OR DISP SHOPLIFTING $500 < $1,000",23C,PART I,COMPLETED,7TH DIVISION,723,DEPARTMENT / DISCOUNT STORE                  ,7100 BLOCK CEDAR SPRINGS BLVD                               ,LOUISVILLE,40291,20
80-22-000355,2022-01-02 17:21:00,2022-01-02 09:00:00,7343            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,3800 BLOCK VERMONT AVE                                      ,LOUISVILLE,40211,21
80-22-000355,2022-01-02 17:21:00,2022-01-02 09:00:00,7343            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,3800 BLOCK VERMONT AVE                                      ,LOUISVILLE,40211,22
80-22-000356,2022-01-02 20:50:00,2022-01-02 19:24:00,7455            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1500 BLOCK CLARA AVE                                        ,LOUISVILLE,40215,23
80-22-000357,2022-01-02 20:05:00,2021-12-27 22:30:00,5353            ,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,2700 BLOCK GRAND AVE                                        ,LOUISVILLE,40211,24
80-22-000358,2022-01-02 20:50:00,2022-01-02 20:40:00,5178            ,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,2500 BLOCK FUREEN DR                                        ,LOUISVILLE,40218,25
80-22-000359,2022-01-02 20:56:00,2022-01-02 20:56:00,5325            ,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,S 22ND ST / W OAK ST                                        ,LOUISVILLE,40210,26
80-22-000360,2022-01-02 21:35:00,2022-01-02 20:45:00,2816            ,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,5TH DIVISION,514,RESIDENCE / HOME                             ,1800 BLOCK GARDINER LN                                      ,LOUISVILLE,40205,27
80-22-000360,2022-01-02 21:35:00,2022-01-02 20:45:00,2816            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,5TH DIVISION,514,RESIDENCE / HOME                             ,1800 BLOCK GARDINER LN                                      ,LOUISVILLE,40205,28
80-22-000360,2022-01-02 21:35:00,2022-01-02 20:45:00,2816            ,DISTURBING THE PEACE,CRIMINAL TRESPASSING-3RD DEGREE,90J,PART II,COMPLETED,5TH DIVISION,514,RESIDENCE / HOME                             ,1800 BLOCK GARDINER LN                                      ,LOUISVILLE,40205,29
80-22-000362,2022-01-02 21:57:00,2022-01-02 21:34:00,7489            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,100 BLOCK NORTHWESTERN PKY                                  ,LOUISVILLE,40212,30
80-22-000363,2022-01-02 22:17:00,2022-01-02 21:35:00,5115            ,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,3400 BLOCK BONAVENTURE BLVD                                 ,LOUISVILLE,40219,31
80-22-000365,2022-01-02 22:14:00,2022-01-02 22:10:00,5224            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,3RD DIVISION,331,OTHER RESIDENCE (APARTMENT/CONDO)            ,7900 BLOCK MOSS CREEK DR                                    ,LOUISVILLE,40258,32
80-22-000366,2022-01-02 20:59:00,2022-01-02 20:59:00,5014            ,FRAUD,OBSCURING THE IDENTITY OF A MACHINE U/$10000,26A,PART II,COMPLETED,7TH DIVISION,724,HIGHWAY / ROAD / ALLEY                       ,11200 BLOCK PALOMA CT                                       ,LOUISVILLE,40229,33
80-22-000367,2022-01-02 22:55:00,2022-01-02 22:48:00,5335            ,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,1ST DIVISION,123,RESIDENCE / HOME                             ,500 BLOCK S 3RD ST                                          ,LOUISVILLE,40202,34
80-22-000368,2022-01-02 23:28:00,2021-12-23 07:30:00,4307            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,1ST DIVISION,135,OTHER RESIDENCE (APARTMENT/CONDO)            ,600 BLOCK MARSHALL ST                                       ,LOUISVILLE,40202,35
80-22-000369,2022-01-02 23:48:00,2021-12-30 15:00:00,4307            ,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 < $1,000",23F,PART I,COMPLETED,3RD DIVISION,322,PARKING LOT / GARAGE                         ,6700 BLOCK STRAWBERRY LN                                    ,LOUISVILLE,40214,36
80-22-000372,2022-01-02 23:27:00,2022-01-02 23:22:00,5131            ,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3700 BLOCK W WHEATMORE DR                                   ,LOUISVILLE,40215,37
80-22-000374,2022-01-02 23:45:00,2022-01-02 23:38:00,5342            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,7TH DIVISION,712,RESIDENCE / HOME                             ,8800 BLOCK MEADOW SWEET WAY                                 ,LOUISVILLE,40228,38
80-22-000373,2022-01-02 23:40:00,2022-01-02 23:32:00,5056            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,10600 BLOCK FARM OAKS CT                                    ,LOUISVILLE,40241,39
80-22-000375,2022-01-03 00:02:00,2022-01-02 23:53:00,5224            ,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,1800 BLOCK KINGSFORD DR                                     ,LOUISVILLE,40216,40
80-22-000376,2022-01-03 00:04:00,2022-01-02 23:59:00,7455            ,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,600 BLOCK BELLAMY CIR                                       ,LOUISVILLE,40208,41
80-22-000376,2022-01-03 00:04:00,2022-01-02 23:59:00,7455            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,600 BLOCK BELLAMY CIR                                       ,LOUISVILLE,40208,42
80-22-000376,2022-01-03 00:04:00,2022-01-02 23:59:00,7455            ,ASSAULT,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,13B,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,600 BLOCK BELLAMY CIR                                       ,LOUISVILLE,40208,43
80-22-000376,2022-01-03 00:04:00,2022-01-02 23:59:00,7455            ,ASSAULT,"ASSAULT 3RD DEGREE (EMS,FIRE, RESCUE SQUAD)",13B,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,600 BLOCK BELLAMY CIR                                       ,LOUISVILLE,40208,44
80-22-000376,2022-01-03 00:04:00,2022-01-02 23:59:00,7455            ,ASSAULT,STRANGULATION 1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,600 BLOCK BELLAMY CIR                                       ,LOUISVILLE,40208,45
80-22-000377,2022-01-03 00:25:00,2022-01-03 00:19:00,7365            ,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,7400 BLOCK TERRY RD                                         ,LOUISVILLE,40258,46
80-22-000378,2022-01-03 00:27:00,2022-01-03 00:22:00,5213            ,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,4TH DIVISION,411,OTHER RESIDENCE (APARTMENT/CONDO)            ,400 BLOCK W ORMSBY AVE                                      ,LOUISVILLE,40203,47
80-22-000379,2022-01-03 00:51:00,2022-01-03 00:36:00,7488            ,ASSAULT,ASSAULT - 2ND DEGREE,13A,PART I,COMPLETED,5TH DIVISION,512,BAR / NIGHT CLUB                             ,600 BLOCK BARRET AVE                                        ,LOUISVILLE,40204,48
80-22-000380,2022-01-03 00:55:00,2022-01-03 00:49:00,5300            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,6TH DIVISION,625,OTHER RESIDENCE (APARTMENT/CONDO)            ,2600 BLOCK WHITEHALL TER                                    ,LOUISVILLE,40220,49
80-22-000381,2022-01-03 00:59:00,2022-01-03 00:39:00,5213            ,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,1400 BLOCK S FLOYD ST                                       ,LOUISVILLE,40208,50
80-22-000062,2022-01-01 08:28:00,2022-01-01 07:30:00,5276            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,6TH DIVISION,625,OTHER RESIDENCE (APARTMENT/CONDO)            ,3200 BLOCK ORCHARD MANOR CIR                                ,LOUISVILLE,40220,51
80-22-000065,2022-01-01 08:13:00,2022-01-01 07:50:00,7244            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,1900 BLOCK SAFE HARBOR CIR                                  ,LOUISVILLE,40216,52
80-22-000065,2022-01-01 08:13:00,2022-01-01 07:50:00,7244            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,1900 BLOCK SAFE HARBOR CIR                                  ,LOUISVILLE,40216,53
80-22-000067,2022-01-01 08:49:00,2022-01-01 08:35:00,7468            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1800 BLOCK CARL CT                                          ,LOUISVILLE,40215,54
80-22-000068,2022-01-01 08:56:00,2021-09-30 12:00:00,6877            ,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,700 BLOCK CECIL AVE                                         ,LOUISVILLE,40211,55
80-22-000069,2022-01-01 08:40:00,2022-01-01 08:00:00,5355            ,ASSAULT,TERRORISTIC THREATENING 2ND DEGREE,13C,PART II,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,1600 BLOCK MOORE CT                                         ,LOUISVILLE,40210,56
80-22-000069,2022-01-01 08:40:00,2022-01-01 08:00:00,5355            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,1600 BLOCK MOORE CT                                         ,LOUISVILLE,40210,57
80-22-000069,2022-01-01 08:40:00,2022-01-01 08:00:00,5355            ,ASSAULT,ASSAULT - 2ND DEGREE,13A,PART I,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,1600 BLOCK MOORE CT                                         ,LOUISVILLE,40210,58
80-22-000069,2022-01-01 08:40:00,2022-01-01 08:00:00,5355            ,ASSAULT,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,13A,PART I,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,1600 BLOCK MOORE CT                                         ,LOUISVILLE,40210,59
80-22-000069,2022-01-01 08:40:00,2022-01-01 08:00:00,5355            ,ASSAULT,STRANGULATION 1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,1600 BLOCK MOORE CT                                         ,LOUISVILLE,40210,60
80-22-000070,2022-01-01 09:05:00,2022-01-01 09:00:00,5399            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,300 BLOCK ROCK CLIFF CT                                     ,LOUISVILLE,40218,61
80-22-000071,2022-01-01 09:19:00,2022-01-01 01:30:00,8473            ,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,2ND DIVISION,223,AIR / BUS / TRAIN TERMINAL                   ,1500 BLOCK W ST CATHERINE ST                                ,LOUISVILLE,40210,62
80-22-000073,2022-01-01 09:23:00,2022-01-01 08:23:00,5221            ,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3500 BLOCK GEORGETOWN CIR                                   ,LOUISVILLE,40215,63
80-22-000074,2022-01-01 09:36:00,2021-12-31 00:00:00,5309            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,600 BLOCK S 43RD ST                                         ,LOUISVILLE,40211,64
80-22-000074,2022-01-01 09:36:00,2021-12-31 00:00:00,5309            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,600 BLOCK S 43RD ST                                         ,LOUISVILLE,40211,65
80-22-000076,2022-01-01 07:58:00,2022-01-01 06:00:00,5276            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,3000 BLOCK RADIANCE RD                                      ,LOUISVILLE,40220,66
80-22-000077,2022-01-01 09:59:00,2022-01-01 09:45:00,5388            ,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,400 BLOCK W ORMSBY AVE                                      ,LOUISVILLE,40203,67
80-22-000078,2022-01-01 09:54:00,2021-12-24 16:00:00,8473            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO $1,000 < $10,000",240,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,400 BLOCK W KINGSTON AVE                                    ,LOUISVILLE,40214,68
80-22-000080,2022-01-01 09:44:00,2022-01-01 09:40:00,5139            ,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,4TH DIVISION,436,HIGHWAY / ROAD / ALLEY                       ,I264E TO SOUTHERN PKY                                       ,LOUISVILLE,40214,69
80-22-000084,2022-01-01 11:35:00,2022-01-01 00:00:00,2457            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,7300 BLOCK EDENROC LN                                       ,LOUISVILLE,40258,70
80-22-000085,2022-01-01 10:15:00,2021-12-31 17:30:00,5397            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,4TH DIVISION,436,PARKING LOT / GARAGE                         ,4700 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,71
80-22-000086,2022-01-01 11:24:00,2021-12-31 23:00:00,8473            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO $1,000 < $10,000",240,PART I,COMPLETED,1ST DIVISION,111,PARKING LOT / GARAGE                         ,300 BLOCK SHORT ST                                          ,LOUISVILLE,40212,72
80-22-000088,2022-01-01 10:45:00,2021-12-31 17:00:00,5397            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,100 BLOCK W WELLINGTON AVE                                  ,LOUISVILLE,40214,73
80-22-000089,2022-01-01 11:33:00,2021-12-31 18:00:00,5191            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,3700 BLOCK GLENMEADE RD                                     ,LOUISVILLE,40218,74
80-22-000090,2022-01-01 11:48:00,2021-12-31 14:00:00,8473            ,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000",240,PART I,COMPLETED,4TH DIVISION,412,RENTAL / STORAGE FACILITY                    ,1400 BLOCK S SHELBY ST                                      ,LOUISVILLE,40217,75
80-22-000090,2022-01-01 11:48:00,2021-12-31 14:00:00,8473            ,THEFT/LARCENY,"RECEIVING STOLEN PROPERTY  $10,000 OR MORE",280,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,1400 BLOCK S SHELBY ST                                      ,LOUISVILLE,40217,76
80-22-000091,2022-01-01 10:11:00,2022-01-01 01:30:00,5340            ,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,2400 BLOCK ROYSTER WAY                                      ,LOUISVILLE,40258,77
80-22-000091,2022-01-01 10:11:00,2022-01-01 01:30:00,5340            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,2400 BLOCK ROYSTER WAY                                      ,LOUISVILLE,40258,78
80-22-000092,2022-01-01 11:41:00,2022-01-01 01:00:00,7904            ,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,3100 BLOCK BANK ST                                          ,LOUISVILLE,40212,79
80-22-000094,2022-01-01 11:46:00,2021-12-31 22:00:00,5221            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,423,OTHER RESIDENCE (APARTMENT/CONDO)            ,3300 BLOCK UTAH AVE                                         ,LOUISVILLE,40215,80
80-22-000097,2022-01-01 12:40:00,2022-01-01 12:15:00,7292            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,1500 BLOCK W MADISON ST                                     ,LOUISVILLE,40203,81
80-22-000098,2022-01-01 12:14:00,2022-01-01 12:05:00,7812            ,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME                             ,5700 BLOCK GEORGIA LN                                       ,LOUISVILLE,40219,82
80-22-000099,2022-01-01 12:16:00,2022-01-01 00:00:00,5230            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4700 BLOCK S 2ND ST                                         ,LOUISVILLE,40214,83
80-22-000100,2022-01-01 12:51:00,2021-12-31 23:35:00,8473            ,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,9800 BLOCK HILLARY CT                                       ,LOUISVILLE,40291,84
80-22-000100,2022-01-01 12:51:00,2021-12-31 23:35:00,8473            ,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,9800 BLOCK HILLARY CT                                       ,LOUISVILLE,40291,85
80-22-000102,2022-01-01 10:34:00,2022-01-01 10:34:00,7015            ,SEX CRIMES,RAPE - 1ST DEGREE - W/SERIOUS PHYSICAL INJURY,11A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,400 BLOCK DR W J HODGE ST                                   ,LOUISVILLE,40203,86
80-22-000103,2022-01-01 12:58:00,2021-12-31 20:30:00,8473            ,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,2500 BLOCK BRIARGATE ST                                     ,LOUISVILLE,40216,87
80-22-000105,2022-01-01 12:30:00,2022-01-01 01:00:00,7015            ,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,6TH DIVISION,625,OTHER RESIDENCE (APARTMENT/CONDO)            ,3200 BLOCK HIKES LN                                         ,LOUISVILLE,40220,88
80-22-000105,2022-01-01 12:30:00,2022-01-01 01:00:00,7015            ,ASSAULT,UNLAWFUL IMPRISONMENT-1ST DEGREE,100,PART II,COMPLETED,6TH DIVISION,625,OTHER RESIDENCE (APARTMENT/CONDO)            ,3200 BLOCK HIKES LN                                         ,LOUISVILLE,40220,89
80-22-000105,2022-01-01 12:30:00,2022-01-01 01:00:00,7015            ,SEX CRIMES,RAPE - 1ST DEGREE - DOMESTIC VIOLENCE,11A,PART I,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,3200 BLOCK HIKES LN                                         ,LOUISVILLE,40220,90
