INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-05-116395,6/2/05 8:30 AM,6/2/05 6:00 AM,THEFT BY UNLAWFUL TAKING/DISP - FROM BUILDING - MISD,THEFT/LARCENY,23D,PART I,COMPLETED,7TH DIVISION,736,"SPECIALTY STORE (TV, FUR, ETC)",8600 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219,2968,1
80-05-116371,6/1/05 11:48 PM,6/1/05 4:00 PM,THEFT BY UNLAWFUL TAKING/DISP - FROM BUILDING - MISD,THEFT/LARCENY,23D,PART I,COMPLETED,7TH DIVISION,736,COMMERCIAL / OFFICE BUILDING,7100 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219,2969,2
80-05-216622,5/23/05 12:20 PM,5/23/05 8:00 AM,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-COCAINE,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME,3900 BLOCK VERMONT AVE                                      ,LOUISVILLE,40211,2970,3
80-05-216622,5/23/05 12:20 PM,5/23/05 8:00 AM,LOITERING,DISTURBING THE PEACE,90B,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME,3900 BLOCK VERMONT AVE                                      ,LOUISVILLE,40211,2971,4
80-05-217770,6/1/05 5:20 AM,5/31/05 8:00 PM,THEFT BY UNLAWFUL TAKING/DISP-ALL OTHERS -MISD,THEFT/LARCENY,23H,PART I,COMPLETED,4TH DIVISION,435,RESIDENCE / HOME,4400 BLOCK MALCOLM AVE                                      ,LOUISVILLE,40215,2972,5
80-05-216567,5/22/05 7:00 AM,5/22/05 7:00 AM,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-COCAINE,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,500 BLOCK ARMORY PL                                         ,LOUISVILLE,40202,2973,6
80-05-115385,5/23/05 4:30 PM,5/23/05 4:30 PM,POSS A CONT SUB-1ST OFFENSE,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,4TH DIVISION,435,OTHER / UNKNOWN,GAGEL AVE                                                   ,LOUISVILLE,40216,2974,7
80-05-116333,6/1/05 3:22 AM,6/1/05 7:00 AM,BURGLARY - 1ST DEGREE,BURGLARY,220,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME,7000 BLOCK RAINBOW DR                                       ,LOUISVILLE,40272,2975,8
80-05-116173,5/31/05 4:00 AM,5/31/05 2:00 AM,ROBBERY - 1ST DEGREE,ROBBERY,120,PART I,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME,MCCAWLEY RD  / PRESTON HWY                                  ,LOUISVILLE,40219,2976,9
80-05-116355,6/1/05 6:00 PM,6/1/05 3:40 PM,LEAVING SCENE OF ACCIDENT/FAILURE TO RENDER AID OR ASSISTANC,OTHER,0,,COMPLETED,8TH DIVISION,815,PARKING LOT / GARAGE,8100 BLOCK RAVENCREST CT                                    ,LOUISVILLE,40222,2977,10
