ObjectId,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
22071,80-19-027839,2019/04/19 16:55:00,2019/04/19 16:55:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-DRUG UNSPECIFIED,35A,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,1000 BLOCK GOSS AVE                                         ,LOUISVILLE,40217
22072,80-19-027841,2019/04/19 16:58:00,2019/04/19 16:58:00,ASSAULT,MENACING,13C,PART II,COMPLETED,4TH DIVISION,412,HOMELESS SHELTER / MISSION                   ,900 BLOCK S BROOK ST                                        ,LOUISVILLE,40203
22073,80-19-027845,2019/04/19 17:20:00,2019/04/19 16:19:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME                             ,8100 BLOCK ROCHELLE RD                                      ,LOUISVILLE,40228
22074,80-19-027853,2019/04/19 18:52:00,2019/04/19 17:33:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,6TH DIVISION,624,DEPARTMENT / DISCOUNT STORE                  ,3600 BLOCK S HURSTBOURNE PKY                                ,LOUISVILLE,40299
22075,80-19-027857,2019/04/19 18:45:00,2019/04/19 18:20:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,1ST DIVISION,135,HOMELESS SHELTER / MISSION                   ,400 BLOCK E JEFFERSON ST                                    ,LOUISVILLE,40202
22076,80-19-027863,2019/04/19 18:52:00,2019/04/19 18:50:00,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,6600 BLOCK EVANGELINE AVE                                   ,LOUISVILLE,40214
22077,80-19-027864,2019/04/19 19:24:00,2019/04/13 00:00:00,THEFT/LARCENY,TBUT OR DISP FROM BUILDING < $500,23D,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,4900 BLOCK DARNTON LN                                       ,LOUISVILLE,40216
22078,80-19-027869,2019/04/19 19:33:00,2018/04/19 17:05:00,FRAUD,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,26C,PART II,COMPLETED,4TH DIVISION,412,MALL / SHOPPING CENTER                       ,900 BLOCK CHARLES ST                                        ,LOUISVILLE,40204
22079,80-19-027593,2019/04/18 20:43:00,2019/04/18 12:00:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,1300 BLOCK S FLOYD ST                                       ,LOUISVILLE,40208
22080,80-19-027871,2019/04/19 19:12:00,2019/04/19 19:08:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,1ST DIVISION,112,SERVICE / GAS STATION                        ,2600 BLOCK W BROADWAY                                       ,LOUISVILLE,40211
