ObjectId,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
1,80-19-000105,2019/01/01 11:22:00,2019/01/01 02:00:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,8200 BLOCK NOTTINGHAM PKY                                   ,HURSTBOURNE,40222
2,80-19-000107,2019/01/01 11:43:00,2019/01/01 11:30:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,1ST DIVISION,135,HOMELESS SHELTER / MISSION                   ,400 BLOCK E JEFFERSON ST                                    ,LOUISVILLE,40202
3,80-19-000108,2019/01/01 12:09:00,2019/01/01 11:51:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,6TH DIVISION,625,OTHER / UNKNOWN                              ,2900 BLOCK KLONDIKE LN                                      ,LOUISVILLE,40218
4,80-19-500001,2019/01/01 12:03:00,2018/12/31 20:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,8200 BLOCK TERRY RD                                         ,LOUISVILLE,40258
5,80-19-000110,2019/01/01 12:19:00,2019/01/01 08:30:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,3500 BLOCK FLEETWOOD DR                                     ,LOUISVILLE,40218
6,80-19-000111,2019/01/01 17:00:00,2019/01/01 11:00:00,OTHER,NON-CRIMINAL DEATH (NATURAL CAUSES),90Z,PART II,COMPLETED,5TH DIVISION,521,RESIDENCE / HOME                             ,0 BLOCK WINIFREDE LN                                        ,LOUISVILLE,40206
7,80-19-000112,2019/01/01 11:48:00,2018/12/31 23:30:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,8200 BLOCK NOTTINGHAM PKY                                   ,HURSTBOURNE,40222
8,80-19-000113,2019/01/01 12:07:00,2018/12/31 17:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,5300 BLOCK ALPINE WAY                                       ,LOUISVILLE,40214
9,80-19-000114,2019/01/01 12:38:00,2018/12/31 19:00:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,1000 BLOCK LAMPTON ALY                                      ,LOUISVILLE,40204
10,80-19-000115,2019/01/01 12:34:00,2019/01/01 03:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,300 BLOCK CANTON CT                                         ,HURSTBOURNE,40222
11,80-19-000115,2019/01/01 12:34:00,2019/01/01 03:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,300 BLOCK CANTON CT                                         ,HURSTBOURNE,40222
12,80-19-000117,2019/01/01 12:23:00,2019/01/01 12:15:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1600 BLOCK WILLIAM E SUMMERS III AVE                        ,LOUISVILLE,40211
13,80-19-000117,2019/01/01 12:23:00,2019/01/01 12:15:00,ASSAULT,ASSAULT - 2ND DEGREE,13A,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1600 BLOCK WILLIAM E SUMMERS III AVE                        ,LOUISVILLE,40211
14,80-19-000117,2019/01/01 12:23:00,2019/01/01 12:15:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1600 BLOCK WILLIAM E SUMMERS III AVE                        ,LOUISVILLE,40211
15,80-19-000116,2019/01/01 12:45:00,2018/12/31 17:45:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1800 BLOCK CARL CT                                          ,LOUISVILLE,40215
16,80-19-000119,2019/01/01 13:12:00,2018/12/30 14:30:00,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,1ST DIVISION,135,GOVERNMENT / PUBLIC BUILDING                 ,700 BLOCK E MUHAMMAD ALI BLVD                               ,LOUISVILLE,40202
17,80-19-000120,2019/01/01 13:57:00,2019/01/01 12:56:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-DRUG UNSPECIFIED,35A,PART II,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE                         ,GRADE LN / PRESTON HWY                                      ,LOUISVILLE,40213
18,80-19-000120,2019/01/01 13:57:00,2019/01/01 12:56:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE                         ,GRADE LN / PRESTON HWY                                      ,LOUISVILLE,40213
19,80-19-000121,2019/01/01 14:00:00,2018/12/31 19:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4700 BLOCK S RUTLAND AVE                                    ,LOUISVILLE,40215
20,80-19-000122,2019/01/01 13:31:00,2019/01/01 02:30:00,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY                       ,S CLAY ST / MARSHALL ST                                     ,LOUISVILLE,40202
21,80-19-000122,2019/01/01 13:31:00,2019/01/01 02:30:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY                       ,S CLAY ST / MARSHALL ST                                     ,LOUISVILLE,40202
22,80-19-000123,2019/01/01 13:39:00,2019/01/01 13:32:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,1ST DIVISION,112,OTHER / UNKNOWN                              ,2600 BLOCK W BROADWAY                                       ,LOUISVILLE,40211
23,80-19-000124,2019/01/01 13:16:00,2018/12/31 22:30:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,4100 BLOCK QUIET WAY                                        ,LOUISVILLE,40219
24,80-19-000125,2019/01/01 14:07:00,2019/01/01 12:45:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,3RD DIVISION,322,HIGHWAY / ROAD / ALLEY                       ,SOUTHSIDE DR / STRAWBERRY LN                                ,LOUISVILLE,40214
25,80-19-000128,2019/01/01 13:47:00,2018/12/31 18:30:00,THEFT/LARCENY,TBUT OR DISP FROM BUILDING < $500,23D,PART I,COMPLETED,1ST DIVISION,123,COMMERCIAL / OFFICE BUILDING                 ,700 BLOCK MAGAZINE ST                                       ,LOUISVILLE,40203
26,80-19-000128,2019/01/01 13:47:00,2018/12/31 18:30:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,1ST DIVISION,123,PARKING LOT / GARAGE                         ,700 BLOCK MAGAZINE ST                                       ,LOUISVILLE,40203
27,80-19-000128,2019/01/01 13:47:00,2018/12/31 18:30:00,THEFT/LARCENY,"RECEIVING STOLEN PROPERTY $10,000 OR MORE",280,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,700 BLOCK MAGAZINE ST                                       ,LOUISVILLE,40203
28,80-19-000127,2019/01/01 11:53:00,2018/12/31 00:00:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,7100 BLOCK GREEN OAK DR                                     ,LOUISVILLE,40258
29,80-19-000129,2019/01/01 13:53:00,2018/11/02 00:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,1400 BLOCK HAZEL ST                                         ,LOUISVILLE,40211
30,80-19-000130,2019/01/01 13:39:00,2019/01/01 13:00:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,3RD DIVISION,334,RESIDENCE / HOME                             ,9700 BLOCK STONESTREET RD                                   ,LOUISVILLE,40272
31,80-19-000132,2019/01/01 14:05:00,2018/12/28 11:00:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,3RD DIVISION,331,"SPECIALTY STORE (TV, FUR, ETC)               ",6600 BLOCK DIXIE HWY                                        ,LOUISVILLE,40258
32,80-19-000133,2019/01/01 14:09:00,2018/12/31 00:00:00,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,5TH DIVISION,512,BAR / NIGHT CLUB                             ,600 BLOCK BARRET AVE                                        ,LOUISVILLE,40204
33,80-19-000134,2019/01/01 13:44:00,2019/01/01 13:44:00,WEAPONS,CARRYING A CONCEALED DEADLY WEAPON,520,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,1200 BLOCK W MUHAMMAD ALI BLVD                              ,LOUISVILLE,40203
34,80-19-000137,2019/01/01 13:18:00,2018/10/10 16:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,METRO LOUISVILLE,METRO,HIGHWAY / ROAD / ALLEY                       ,COMMUNITY AT LARGE,LOUISVILLE,0
35,80-19-000138,2019/01/01 14:25:00,2019/01/01 06:53:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,3RD DIVISION,331,SERVICE / GAS STATION                        ,5300 BLOCK DIXIE HWY                                        ,LOUISVILLE,40216
36,80-19-000140,2019/01/01 14:00:00,2019/01/01 14:00:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME                             ,4000 BLOCK LANDSIDE DR                                      ,LOUISVILLE,40220
37,80-19-000141,2019/01/01 13:50:00,2018/12/30 13:50:00,BURGLARY,BURGLARY - 1ST DEGREE,220,PART I,COMPLETED,1ST DIVISION,134,HIGHWAY / ROAD / ALLEY                       ,200 BLOCK S CLAY ST                                         ,LOUISVILLE,40202
38,80-19-000143,2019/01/01 14:50:00,2018/12/31 20:30:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,2200 BLOCK GREENWOOD AVE                                    ,LOUISVILLE,40210
39,80-19-000144,2019/01/01 14:27:00,2019/01/01 14:27:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,5200 BLOCK KAFFIR CT                                        ,LOUISVILLE,40258
40,80-19-000145,2019/01/01 14:51:00,2019/01/01 14:47:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4600 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214
41,80-19-000146,2019/01/01 15:07:00,2018/12/23 00:01:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,5900 BLOCK MIDDLEROSE CIR                                   ,LOUISVILLE,40272
42,80-19-000146,2019/01/01 15:07:00,2018/12/23 00:01:00,THEFT/LARCENY,RECEIVING STOLEN PROPERTY U/$500 MISD,280,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,5900 BLOCK MIDDLEROSE CIR                                   ,LOUISVILLE,40272
43,80-19-000147,2019/01/01 14:08:00,2018/12/31 14:42:00,OTHER,LEAV SCENE OF ACCIDENT/FAIL TO RNDR AID/ASSIST W/DEATH OR SJ,90Z,PART II,COMPLETED,7TH DIVISION,711,HIGHWAY / ROAD / ALLEY                       ,ST GABRIEL LN / STONY BROOK DR                              ,LOUISVILLE,40291
44,80-19-000148,2019/01/01 15:09:00,2019/01/01 15:09:00,OTHER,OFFICER NEEDS TO COMPLETE INCIDENT REPORT,999,,COMPLETED,2ND DIVISION,211,AIR / BUS / TRAIN TERMINAL                   ,3400 BLOCK RIVER PARK DR                                    ,LOUISVILLE,40211
45,80-19-000149,2019/01/01 15:29:00,2018/12/27 16:06:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,3RD DIVISION,315,PARKING LOT / GARAGE                         ,10100 BLOCK DIXIE HWY                                       ,LOUISVILLE,40272
46,80-19-000150,2019/01/01 15:41:00,2019/01/01 03:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,7TH DIVISION,712,HIGHWAY / ROAD / ALLEY                       ,8200 BLOCK DAMASCUS RD                                      ,LOUISVILLE,40228
47,80-19-000151,2019/01/01 15:45:00,2019/01/01 03:30:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,300 BLOCK BUCKINGHAM TER                                    ,LOUISVILLE,40222
48,80-19-000152,2019/01/01 15:22:00,2019/01/01 15:22:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,4TH DIVISION,435,RESIDENCE / HOME                             ,4400 BLOCK OLD MANSLICK RD                                  ,LOUISVILLE,40216
49,80-19-000153,2019/01/01 15:32:00,2019/01/01 15:18:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,7TH DIVISION,735,"SPECIALTY STORE (TV, FUR, ETC)               ",4200 BLOCK OUTER LOOP                                       ,LOUISVILLE,40219
50,80-19-000155,2019/01/01 15:35:00,2018/12/29 17:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,600 BLOCK S 26TH ST                                         ,LOUISVILLE,40211
51,80-18-101252,2019/01/06 08:45:00,2018/12/28 13:00:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,7TH DIVISION,724,PARKING LOT / GARAGE                         ,5100 BLOCK COMMERCE CROSSINGS DR                            ,LOUISVILLE,40229
52,80-18-101866,2019/01/01 11:10:00,2018/12/28 00:00:00,OTHER,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,2ND DIVISION,236,OTHER / UNKNOWN                              ,3200 BLOCK MELODY ACRES LN                                  ,LOUISVILLE,40216
53,80-19-000001,2019/01/01 00:00:00,2018/12/31 23:40:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,6TH DIVISION,624,HIGHWAY / ROAD / ALLEY                       ,GRANVIL DR / REDDING RD                                     ,LOUISVILLE,40218
54,80-19-000002,2019/01/01 00:15:00,2019/01/01 00:01:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,8TH DIVISION,811,PARKING LOT / GARAGE                         ,11300 BLOCK POWHATAN CT                                     ,LOUISVILLE,40241
55,80-19-000003,2019/01/01 00:03:00,2019/01/01 00:03:00,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,3500 BLOCK FLEETWOOD DR                                     ,LOUISVILLE,40218
56,80-19-000004,2019/01/01 00:09:00,2019/01/01 00:08:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3800 BLOCK CORVAIR CT                                       ,LOUISVILLE,40215
57,80-19-000005,2019/01/01 00:06:00,2019/01/01 00:00:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,435,RESIDENCE / HOME                             ,1400 BLOCK WALTER AVE                                       ,LOUISVILLE,40215
58,80-19-000005,2019/01/01 00:06:00,2019/01/01 00:00:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,435,RESIDENCE / HOME                             ,1400 BLOCK WALTER AVE                                       ,LOUISVILLE,40215
59,80-19-000006,2019/01/01 00:14:00,2018/12/31 23:30:00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,8TH DIVISION,812,RESIDENCE / HOME                             ,5500 BLOCK HARBORTOWN RD                                    ,LOUISVILLE,40059
60,80-19-000007,2019/01/01 00:29:00,2019/01/01 00:28:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,5TH DIVISION,513,HIGHWAY / ROAD / ALLEY                       ,BARDSTOWN RD / DEER PARK AVE                                ,LOUISVILLE,40205
61,80-19-000008,2019/01/01 00:34:00,2019/01/01 00:00:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,1500 BLOCK S SHELBY ST                                      ,LOUISVILLE,40217
62,80-19-000009,2019/01/01 00:49:00,2019/01/01 00:05:00,ROBBERY,ROBBERY - 2ND DEGREE,120,PART I,COMPLETED,1ST DIVISION,123,BAR / NIGHT CLUB                             ,400 BLOCK S 4TH ST                                          ,LOUISVILLE,40202
63,80-19-000011,2019/01/01 00:10:00,2019/01/01 00:10:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,4400 BLOCK BAYGARDEN CT                                     ,WORTHINGTON_HILLS,40245
64,80-19-000011,2019/01/01 00:10:00,2019/01/01 00:10:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,8TH DIVISION,811,RESIDENCE / HOME                             ,4400 BLOCK BAYGARDEN CT                                     ,WORTHINGTON_HILLS,40245
65,80-19-000012,2019/01/01 00:15:00,2019/01/01 00:10:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,8TH DIVISION,812,RESIDENCE / HOME                             ,5500 BLOCK HARBORTOWN RD                                    ,LOUISVILLE,40059
66,80-19-000016,2019/01/01 01:20:00,2019/01/01 01:20:00,OTHER,OFFICER NEEDS TO COMPLETE INCIDENT REPORT,999,,COMPLETED,6TH DIVISION,611,OTHER / UNKNOWN                              ,4100 BLOCK PRESTON HWY                                      ,LOUISVILLE,40213
67,80-19-000017,2019/01/01 01:22:00,2019/01/01 01:17:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,412,BAR / NIGHT CLUB                             ,1000 BLOCK E BURNETT AVE                                    ,LOUISVILLE,40217
68,80-19-000020,2019/01/01 01:23:00,2019/01/01 01:10:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,1ST DIVISION,123,BAR / NIGHT CLUB                             ,200 BLOCK W MARKET ST                                       ,LOUISVILLE,40202
69,80-19-000021,2019/01/01 00:35:00,2019/01/01 00:34:00,WEAPONS,CARRYING A CONCEALED DEADLY WEAPON,520,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,3800 BLOCK WHEELER AVE                                      ,LOUISVILLE,40215
70,80-19-000021,2019/01/01 00:35:00,2019/01/01 00:34:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,3800 BLOCK WHEELER AVE                                      ,LOUISVILLE,40215
71,80-19-000021,2019/01/01 00:35:00,2019/01/01 00:34:00,THEFT/LARCENY,RECEIVING STOLEN PROPERTY (FIREARM),280,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,3800 BLOCK WHEELER AVE                                      ,LOUISVILLE,40215
72,80-19-000023,2019/01/01 01:32:00,2019/01/01 01:29:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,12500 BLOCK E ORELL RD                                      ,LOUISVILLE,40272
73,80-19-000024,2019/01/01 01:34:00,2019/01/01 01:30:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,1ST DIVISION,111,CONVENIENCE STORE                            ,500 BLOCK N 22ND ST                                         ,LOUISVILLE,40203
74,80-19-000027,2019/01/01 01:45:00,2019/01/01 01:44:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,500 BLOCK BELGRAVIA CT                                      ,LOUISVILLE,40208
75,80-19-000028,2019/01/01 02:42:00,2019/01/01 02:17:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,5TH DIVISION,512,BAR / NIGHT CLUB                             ,1100 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40204
76,80-19-000029,2019/01/01 02:03:00,2019/01/01 02:02:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,10300 BLOCK LA PLAZA DR                                     ,LOUISVILLE,40272
77,80-19-000031,2019/01/01 01:44:00,2019/01/01 01:44:00,ASSAULT,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,13B,PART II,COMPLETED,5TH DIVISION,514,HIGHWAY / ROAD / ALLEY                       ,2200 BLOCK EASTVIEW AVE                                     ,LOUISVILLE,40205
78,80-19-000032,2019/01/01 02:23:00,2019/01/01 02:23:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE                         ,1700 BLOCK W BROADWAY                                       ,LOUISVILLE,40203
79,80-19-000032,2019/01/01 02:23:00,2019/01/01 02:23:00,DRUGS/ALCOHOL VIOLATIONS,"TRAF N CONT SUB 3RD DEG,1ST OFF(>OR=20 BUT<OR=120 DU DRUG UN",35A,PART II,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE                         ,1700 BLOCK W BROADWAY                                       ,LOUISVILLE,40203
80,80-19-000033,2019/01/01 02:23:00,2019/01/01 02:23:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE                         ,1700 BLOCK W BROADWAY                                       ,LOUISVILLE,40203
81,80-19-000033,2019/01/01 02:23:00,2019/01/01 02:23:00,DRUGS/ALCOHOL VIOLATIONS,"TRAF N CONT SUB 3RD DEG,1ST OFF(>OR=20 BUT<OR=120 DU DRUG UN",35A,PART II,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE                         ,1700 BLOCK W BROADWAY                                       ,LOUISVILLE,40203
82,80-19-000034,2019/01/01 02:23:00,2019/01/01 02:23:00,DRUGS/ALCOHOL VIOLATIONS,"TRAF N CONT SUB 3RD DEG,1ST OFF(>OR=20 BUT<OR=120 DU DRUG UN",35A,PART II,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE                         ,1700 BLOCK W BROADWAY                                       ,LOUISVILLE,40203
83,80-19-000037,2019/01/01 02:24:00,2019/01/01 02:15:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,700 BLOCK S CLAY ST                                         ,LOUISVILLE,40203
84,80-19-000038,2019/01/01 02:43:00,2018/12/31 22:30:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,2ND DIVISION,225,PARKING LOT / GARAGE                         ,1700 BLOCK DE SOTO TER                                      ,LOUISVILLE,40210
85,80-19-000039,2019/01/01 01:18:00,2019/01/01 00:01:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,5300 BLOCK RED LEAF RD                                      ,LOUISVILLE,40218
86,80-19-000040,2019/01/01 03:10:00,2019/01/01 03:07:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,1800 BLOCK BAIRD ST                                         ,LOUISVILLE,40203
87,80-19-000042,2019/01/01 04:41:00,2019/01/01 03:43:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,700 BLOCK M ST                                              ,LOUISVILLE,40208
88,80-19-000043,2019/01/01 03:40:00,2019/01/01 03:39:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,200 BLOCK WOODBINE ST                                       ,LOUISVILLE,40208
89,80-19-000044,2019/01/01 04:01:00,2019/01/01 03:52:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,435,PARKING LOT / GARAGE                         ,1800 BLOCK BLUEGRASS AVE                                    ,LOUISVILLE,40215
90,80-19-000045,2019/01/01 04:13:00,2019/01/01 04:10:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,4900 BLOCK LAGOONA DR                                       ,LOUISVILLE,40219
91,80-19-000047,2019/01/01 03:13:00,2019/01/01 03:13:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,2900 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211
92,80-19-000048,2019/01/01 04:16:00,2018/12/31 20:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1500 BLOCK BELLAMY PL                                       ,LOUISVILLE,40208
93,80-19-000049,2019/01/01 04:15:00,2019/01/01 04:00:00,ASSAULT,VIOLATION OF KENTUCKY EPO/DVO,90F,PART II,COMPLETED,2ND DIVISION,225,OTHER RESIDENCE (APARTMENT/CONDO)            ,1600 BLOCK BULGER CT                                        ,LOUISVILLE,40210
94,80-19-000050,2019/01/01 03:43:00,2019/01/01 02:00:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,1ST DIVISION,123,RESTAURANT                                   ,1200 BLOCK W BROADWAY                                       ,LOUISVILLE,40203
