INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-09-069570,9/14/09 10:00 PM,9/14/09 8:55 PM,INTIMIDATING A PARTICIPANT IN LEGAL PROCESS,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME,700 BLOCK CREEL AVE                                         ,LVIL,40208,498540,52255
80-09-067256,9/6/09 5:42 PM,9/6/09 5:42 PM,POSS OF MARIJUANA,OTHER,999,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME,1600 BLOCK EARL AVE                                         ,LVIL,40215,498541,52256
80-09-067256,9/6/09 5:42 PM,9/6/09 5:42 PM,DRUG PARAPHERNALIA-BUY/POSSESS-1ST OFFENSE,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME,1600 BLOCK EARL AVE                                         ,LVIL,40215,498542,52257
80-09-067241,9/6/09 4:52 PM,9/6/09 4:52 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,1ST DIVISION,112,OTHER / UNKNOWN,2100 BLOCK PLYMOUTH CT                                      ,LVIL,40203,498543,52258
80-09-070310,9/17/09 2:03 PM,9/17/09 12:00 PM,THEFT BY UNLAWFUL TAKING/DISP-ALL OTHERS - FELONY CLASS D,THEFT/LARCENY,23H,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY,700 BLOCK E BROADWAY                                        ,LOUISVILLE,40202,498544,52259
80-09-067271,9/6/09 7:50 PM,9/6/09 7:50 PM,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-DRUG UNSPECIFIED,OTHER,999,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME,2700 BLOCK S 6TH ST                                         ,LVIL,40208,498545,52260
80-09-070312,9/18/09 4:54 AM,9/4/09 9:27 AM,ANY NON CRIMINAL CHARGE NOT COVERED BY THESE CODES,OTHER,90Z,PART II,COMPLETED,METRO LOUISVILLE,METRO,OTHER / UNKNOWN,COMMUNITY AT LARGE,LOUISVILLE,40056,498546,52261
80-09-047003,6/27/09 6:21 PM,6/27/09 6:21 PM,THEFT OF SERVICES - MISD,THEFT/LARCENY,23H,PART I,COMPLETED,6TH DIVISION,624,CHURCH / SYNAGOGUE / TEMPLE,4800 BLOCK PROGRESS BLVD                                    ,LOUISVILLE,40218,498547,52262
80-09-003030,1/13/09 4:28 PM,1/13/09 4:28 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY,9200 BLOCK BLUE LICK RD                                     ,LOUISVILLE,40229,498548,52263
80-09-069930,9/16/09 2:51 AM,9/15/09 4:00 PM,MISSING PERSONS,OTHER,90Z,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME,1200 BLOCK S 32ND ST                                        ,LOUISVILLE,40211,498549,52264
