INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-12-034260,5/1/12 7:48 PM,5/1/12 7:48 PM,SEXUAL ABUSE - 1ST DEGREE- VICTIM U/12 YOA,SEX CRIMES,11D,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME,300 BLOCK S 38TH ST                                         ,LOUISVILLE,40212,120780,1
80-12-088974,11/8/12 11:34 AM,11/7/12 8:30 PM,RECEIVING STOLEN PROPERTY (FIREARM),THEFT/LARCENY,280,PART II,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY,8200 BLOCK GRANDEL PL                                       ,LOUISVILLE,40258,224571,2
80-12-069822,9/1/12 6:13 AM,9/1/12 12:00 AM,SEXUAL ABUSE - 1ST DEGREE- VICTIM U/12 YOA,SEX CRIMES,11D,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME,3600 BLOCK W MUHAMMAD ALI BLVD                              ,LOUISVILLE,40212,293316,3
80-12-018027,3/7/12 9:38 PM,3/7/12 9:04 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,3RD DIVISION,331,OTHER / UNKNOWN,ELMORE ST / GRASTON AVE                                     ,LOUISVILLE,40216,402132,4
80-12-018027,3/7/12 9:38 PM,3/7/12 9:04 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,3RD DIVISION,331,OTHER / UNKNOWN,ELMORE ST / GRASTON AVE                                     ,LOUISVILLE,40216,402214,5
80-12-103335,12/31/12 11:45 PM,12/31/12 11:21 PM,POSS CONT SUB-2ND DEGREE-DRUG UNSPECIFIED,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY,BARRET AVE / ST ANTHONY PL                                  ,LOUISVILLE,40204,438580,6
80-12-099540,12/16/12 3:14 PM,12/15/12 6:48 PM,TBUT OR DISP ALL OTHERS <  $500,THEFT/LARCENY,23H,PART I,COMPLETED,1ST DIVISION,123,RESTAURANT,400 BLOCK S 4TH ST                                          ,LOUISVILLE,40202,467185,7
80-12-095966,12/4/12 1:02 PM,12/4/12 12:00 PM,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,322,OTHER RESIDENCE (APARTMENT/CONDO),7300 BLOCK SOUTHSIDE DR                                     ,LOUISVILLE,40214,574736,8
80-12-000378,1/2/12 4:32 PM,1/2/12 2:30 PM,ROBBERY - 1ST DEGREE,ROBBERY,120,PART I,ATTEMPTED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY,1500 BLOCK ROSEWOOD AVE                                     ,LOUISVILLE,40204,746795,9
80-12-000362,1/2/12 3:17 PM,12/23/11 10:30 PM,BURGLARY - 1ST DEGREE,BURGLARY,220,PART I,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME,900 BLOCK LYNDON LN                                         ,LYNDON,40222,746796,10
