INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-20-000117,2020-01-01 13:50:00,2019-12-31 03:30:00,FRAUD,"FRAUD USE OF CREDIT CARD AFTER REPT LOST/STOLEN U/$10,000",26B,PART II,COMPLETED,4TH DIVISION,435,SERVICE / GAS STATION                        ,4100 BLOCK TAYLOR BLVD                                      ,LOUISVILLE,40215,1
80-20-000292,2020-01-02 10:45:00,2019-12-31 18:00:00,THEFT/LARCENY,"TBUT OR DISP ALL OTHERS > $500 BUT < $10,000",23H,PART I,COMPLETED,6TH DIVISION,613,NON-ATTACHED RESD GARAGE/SHED/BULD           ,5200 BLOCK RUSSETT BLVD                                     ,LOUISVILLE,40218,2
80-19-096135,2020-01-01 00:26:00,2019-12-31 23:30:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 16TH ST / W CHESTNUT ST                                   ,LOUISVILLE,40203,3
80-20-000234,2020-01-01 23:57:00,2020-01-01 03:00:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,2700 BLOCK S 4TH ST                                         ,LOUISVILLE,40208,4
80-20-000294,2020-01-02 11:02:00,2019-12-31 12:00:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,7TH DIVISION,736,DOCK/WHARF/FREIGHT/MODAL TERMINAL            ,1800 BLOCK SOUTH PARK RD                                    ,LOUISVILLE,40219,5
80-19-096138,2020-01-01 00:13:00,2019-12-31 22:59:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,5TH DIVISION,513,RESIDENCE / HOME                             ,1800 BLOCK RADNOR AVE                                       ,LOUISVILLE,40205,6
80-20-000237,2020-01-02 00:26:00,2020-01-01 23:30:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3200 BLOCK VIRGINIA AVE                                     ,LOUISVILLE,40211,7
80-20-000432,2020-01-02 17:50:00,2020-01-02 17:45:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 28TH ST / W BROADWAY                                      ,LOUISVILLE,40211,8
80-20-000358,2020-01-02 14:24:00,2019-09-01 14:24:00,ASSAULT,KNOWINGLY EXPLOIT ADULT BY PERSON O/$300,90F,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4500 BLOCK PICADILLY AVE                                    ,LOUISVILLE,40215,9
80-20-000180,2020-01-01 17:43:00,2019-12-31 08:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,ATTEMPTED,4TH DIVISION,435,OTHER RESIDENCE (APARTMENT/CONDO)            ,4900 BLOCK MANSLICK RD                                      ,LOUISVILLE,40216,10
80-20-000118,2020-01-01 13:35:00,2020-01-01 13:29:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,3RD DIVISION,315,DEPARTMENT / DISCOUNT STORE                  ,9900 BLOCK DIXIE HWY                                        ,LOUISVILLE,40272,11
80-20-000295,2020-01-02 10:39:00,2020-01-02 10:25:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,9000 BLOCK AUBURN WOODS RD                                  ,LOUISVILLE,40214,12
80-20-000063,2020-01-01 09:05:00,2020-01-01 00:00:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,1500 BLOCK ANDERSON ST                                      ,LOUISVILLE,40210,13
80-19-096138,2020-01-01 00:13:00,2019-12-31 22:59:00,DISTURBING THE PEACE,CRIMINAL TRESPASS-1ST DEGREE,90J,PART II,COMPLETED,5TH DIVISION,513,RESIDENCE / HOME                             ,1800 BLOCK RADNOR AVE                                       ,LOUISVILLE,40205,14
80-20-000238,2020-01-02 00:18:00,2020-01-02 00:12:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1800 BLOCK S 38TH ST                                        ,LOUISVILLE,40211,15
80-20-000358,2020-01-02 14:24:00,2019-09-01 14:24:00,THEFT/LARCENY,THEFT BY DECEPTION-INCL COLD CHECKS U/$500,23H,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4500 BLOCK PICADILLY AVE                                    ,LOUISVILLE,40215,16
80-20-000435,2020-01-02 17:15:00,2019-12-31 13:00:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,8TH DIVISION,815,NON-ATTACHED RESD GARAGE/SHED/BULD           ,600 BLOCK WASHBURN AVE                                      ,LOUISVILLE,40222,17
80-20-000181,2020-01-01 17:54:00,2019-12-03 20:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,3RD DIVISION,315,PARKING LOT / GARAGE                         ,5400 BLOCK VALLEY STATION RD                                ,LOUISVILLE,40272,18
80-20-000296,2020-01-02 11:30:00,2020-01-02 09:45:00,OTHER,INJURED PERSON REQUIRING POLICE REPORT,999,PART II,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,1200 BLOCK S BROOK ST                                       ,LOUISVILLE,40203,19
80-20-000064,2020-01-01 09:09:00,2020-01-01 09:09:00,OTHER,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,999,,COMPLETED,3RD DIVISION,323,HIGHWAY / ROAD / ALLEY                       ,I265N AT NATIONAL TPKE                                      ,LOUISVILLE,40118,20
80-19-096139,2020-01-01 00:42:00,2020-01-01 00:08:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,@TAYLOR BLVD N TO I264E                                     ,LOUISVILLE,40215,21
80-20-000358,2020-01-02 14:24:00,2019-09-01 14:24:00,FRAUD,CRIMINAL POSSESSION FORGED INSTRUMENT-2ND DEGREE-IDENTIFY,250,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4500 BLOCK PICADILLY AVE                                    ,LOUISVILLE,40215,22
80-20-000120,2020-01-01 13:56:00,2020-01-01 03:05:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,800 BLOCK MULBERRY ST                                       ,LOUISVILLE,40217,23
80-20-000240,2020-01-02 00:01:00,2020-01-01 23:45:00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,4100 BLOCK PINECROFT DR                                     ,LOUISVILLE,40219,24
80-20-000438,2020-01-02 17:47:00,2019-12-26 10:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,4TH DIVISION,411,OTHER RESIDENCE (APARTMENT/CONDO)            ,1000 BLOCK S 4TH ST                                         ,LOUISVILLE,40203,25
80-20-000121,2020-01-01 14:05:00,2020-01-01 14:00:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK N 28TH ST                                         ,LOUISVILLE,40212,26
80-20-000241,2020-01-02 00:02:00,2020-01-02 00:02:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,8TH DIVISION,815,PARKING LOT / GARAGE                         ,1300 BLOCK S HURSTBOURNE PKY                                ,JEFFERSONTOWN,40222,27
80-20-000359,2020-01-02 14:25:00,2019-12-31 18:30:00,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,200 BLOCK POPLAR LEVEL CT                                   ,LOUISVILLE,40219,28
80-20-000065,2020-01-01 08:37:00,2020-01-01 08:25:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,LINDBERGH DR / TENNESSEE AVE                                ,LOUISVILLE,40208,29
80-20-000182,2020-01-01 17:40:00,2020-01-01 17:27:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,6TH DIVISION,611,HIGHWAY / ROAD / ALLEY                       ,FARMDALE AVE / LUCAS AVE                                    ,LOUISVILLE,40213,30
80-20-000300,2020-01-02 11:52:00,2004-09-06 00:01:00,FRAUD,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,26C,PART II,COMPLETED,4TH DIVISION,424,OTHER / UNKNOWN                              ,3800 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,31
80-19-096140,2020-01-01 00:31:00,2019-12-31 22:30:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,800 BLOCK ASH ST                                            ,LOUISVILLE,40217,32
80-20-000183,2020-01-01 18:08:00,2019-12-31 23:30:00,THEFT/LARCENY,TBUT OR DISP BICYCLES U/$500,23H,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,11700 BLOCK WILTONWOOD CT                                   ,LOUISVILLE,40272,33
80-20-000439,2020-01-02 18:12:00,2019-11-01 00:01:00,ASSAULT,HARASSMENT (NO PHYSICAL CONTACT),13C,PART II,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,9400 BLOCK FARNHAM DR                                       ,MOORLAND,40223,34
80-20-000362,2020-01-02 13:39:00,2019-12-31 17:00:00,VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE,290,PART II,COMPLETED,4TH DIVISION,424,CONSTRUCTION SITE                            ,300 BLOCK FARMINGTON AVE                                    ,LOUISVILLE,40209,35
80-20-000301,2020-01-02 11:56:00,2019-12-01 11:00:00,THEFT/LARCENY,"TBUT OR DISP FROM COIN MACHINE $500 OR > BUT < $10,000",23E,PART I,COMPLETED,6TH DIVISION,624,CONVENIENCE STORE                            ,6200 BLOCK SHEPHERDSVILLE RD                                ,LOUISVILLE,40228,36
80-20-000243,2020-01-02 01:10:00,2020-01-01 06:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,S 46TH ST / W MARKET ST                                     ,LOUISVILLE,40212,37
80-20-000065,2020-01-01 08:37:00,2020-01-01 08:25:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONTROLLED SUB 1ST DEGREE 1ST OFF (METHAMPHETAMINE),35A,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,LINDBERGH DR / TENNESSEE AVE                                ,LOUISVILLE,40208,38
80-20-000123,2020-01-01 14:06:00,2019-12-31 23:48:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,1000 BLOCK EUCLID AVE                                       ,LOUISVILLE,40208,39
80-20-000006,2020-01-01 01:14:00,2020-01-01 01:10:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1500 BLOCK BELLAMY PL                                       ,LOUISVILLE,40208,40
80-20-000184,2020-01-01 06:00:00,2020-01-01 05:55:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,123,RESIDENCE / HOME                             ,900 BLOCK ESQUIRE ALY                                       ,LOUISVILLE,40203,41
80-20-000443,2020-01-02 17:37:00,2020-01-02 17:37:00,OTHER,SUICIDE,999,PART II,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,1100 BLOCK W INDIAN TRL                                     ,LOUISVILLE,40213,42
80-20-000362,2020-01-02 13:39:00,2019-12-31 17:00:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,4TH DIVISION,424,HOTEL / MOTEL / ETC.                         ,300 BLOCK FARMINGTON AVE                                    ,LOUISVILLE,40209,43
80-20-000246,2020-01-02 01:08:00,2020-01-02 01:06:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,4TH DIVISION,412,OTHER RESIDENCE (APARTMENT/CONDO)            ,1000 BLOCK SYLVIA ST                                        ,LOUISVILLE,40217,44
80-20-000302,2020-01-02 11:20:00,2020-01-02 11:11:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1400 BLOCK SALE AVE                                         ,LOUISVILLE,40215,45
80-20-000066,2020-01-01 09:15:00,2020-01-01 02:30:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,2600 BLOCK S 5TH ST                                         ,LOUISVILLE,40208,46
80-20-000248,2020-01-02 01:35:00,2020-01-02 01:26:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-DRUG UNSPECIFIED,35A,PART II,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,S 20TH ST / WILSON AVE                                      ,LOUISVILLE,40210,47
80-20-000302,2020-01-02 11:20:00,2020-01-02 11:11:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-DRUG UNSPECIFIED,35A,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1400 BLOCK SALE AVE                                         ,LOUISVILLE,40215,48
80-20-000364,2020-01-02 14:15:00,2020-01-02 14:08:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,1ST DIVISION,135,RESIDENCE / HOME                             ,500 BLOCK S JACKSON ST                                      ,LOUISVILLE,40202,49
80-20-000008,2020-01-01 01:19:00,2020-01-01 00:00:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,2900 BLOCK S 4TH ST                                         ,LOUISVILLE,40208,50
80-20-000185,2020-01-01 17:45:00,2019-12-28 17:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,2300 BLOCK BURWELL AVE                                      ,LOUISVILLE,40210,51
80-20-000449,2020-01-02 19:04:00,2020-01-02 18:26:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-COCAINE,35A,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,2500 BLOCK ELLIOTT AVE                                      ,LOUISVILLE,40211,52
80-20-000125,2020-01-01 13:53:00,2020-01-01 13:51:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,4TH DIVISION,423,CONVENIENCE STORE                            ,1100 BLOCK ALGONQUIN PKY                                    ,LOUISVILLE,40208,53
80-20-000186,2020-01-01 18:06:00,2020-01-01 04:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,1300 BLOCK S 3RD ST                                         ,LOUISVILLE,40208,54
80-20-000450,2020-01-02 18:27:00,2020-01-02 18:26:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,2500 BLOCK ELLIOTT AVE                                      ,LOUISVILLE,40211,55
80-20-000008,2020-01-01 01:19:00,2020-01-01 00:00:00,OTHER,HARASSING COMMUNICATIONS,90Z,PART II,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,2900 BLOCK S 4TH ST                                         ,LOUISVILLE,40208,56
80-20-000366,2020-01-02 14:40:00,2019-12-24 10:35:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,6TH DIVISION,624,RESIDENCE / HOME                             ,6600 BLOCK ADAM RIDGE PL                                    ,LOUISVILLE,40228,57
80-20-000249,2020-01-02 00:59:00,2020-01-02 00:59:00,OTHER,DEATH INVESTIGATION,90Z,PART II,COMPLETED,4TH DIVISION,412,FIELD / WOODS                                ,E HILL ST / S PRESTON ST                                    ,LOUISVILLE,40208,58
80-20-000303,2020-01-02 12:01:00,2019-12-28 00:00:00,FRAUD,"FRAUDULENT USE OF CREDIT CARDS U/$10,000",26B,PART II,COMPLETED,3RD DIVISION,323,GROCERY / SUPERMARKET                        ,100 BLOCK OUTER LOOP                                        ,LOUISVILLE,40214,59
80-20-000067,2020-01-01 09:57:00,2019-12-29 12:00:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,9800 BLOCK MICHAEL EDWARD DR                                ,LOUISVILLE,40291,60
80-20-000305,2020-01-02 12:09:00,2019-12-30 12:00:00,THEFT/LARCENY,THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE MISD,23H,PART I,COMPLETED,6TH DIVISION,625,CONVENIENCE STORE                            ,2900 BLOCK BRECKENRIDGE LN                                  ,LOUISVILLE,40220,61
80-20-000250,2020-01-02 02:00:00,2020-01-02 01:53:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3300 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211,62
80-20-000368,2020-01-02 13:55:00,2019-10-28 09:00:00,THEFT/LARCENY,TBUT OR DISP FROM BUILDING < $500,23D,PART I,COMPLETED,3RD DIVISION,315,DEPARTMENT / DISCOUNT STORE                  ,9000 BLOCK DIXIE HWY                                        ,LOUISVILLE,40258,63
80-20-000451,2020-01-02 17:25:00,2020-01-02 17:25:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,13B,PART II,COMPLETED,3RD DIVISION,322,OTHER RESIDENCE (APARTMENT/CONDO)            ,5400 BLOCK NEW CUT RD                                       ,LOUISVILLE,40214,64
80-20-000009,2020-01-01 01:50:00,2020-01-01 01:35:00,ASSAULT,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,13B,PART II,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,800 BLOCK S 37TH ST                                         ,LOUISVILLE,40211,65
80-20-000188,2020-01-01 18:30:00,2019-12-31 23:22:00,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,5TH DIVISION,512,BAR / NIGHT CLUB                             ,900 BLOCK BAXTER AVE                                        ,LOUISVILLE,40204,66
80-20-000125,2020-01-01 13:53:00,2020-01-01 13:51:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,4TH DIVISION,423,CONVENIENCE STORE                            ,1100 BLOCK ALGONQUIN PKY                                    ,LOUISVILLE,40208,67
80-20-000010,2020-01-01 02:30:00,2020-01-01 00:50:00,ASSAULT,ASSAULT - 1ST DEGREE,13A,PART I,COMPLETED,1ST DIVISION,135,BAR / NIGHT CLUB                             ,100 BLOCK W JEFFERSON ST                                    ,LOUISVILLE,40202,68
80-20-000191,2020-01-01 18:46:00,2020-01-01 18:35:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-COCAINE,35A,PART II,COMPLETED,1ST DIVISION,112,OTHER RESIDENCE (APARTMENT/CONDO)            ,S 27TH ST / W MADISON ST                                    ,LOUISVILLE,40211,69
80-20-000453,2020-01-02 19:13:00,2019-12-30 19:30:00,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,3400 BLOCK POWELL AVE                                       ,LOUISVILLE,40215,70
80-20-000304,2020-01-02 12:12:00,2020-01-01 18:00:00,VEHICLE BREAK-IN/THEFT,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL,23G,PART I,COMPLETED,7TH DIVISION,724,PARKING LOT / GARAGE                         ,BARRICKS RD / HUTCHERSON DR                                 ,LOUISVILLE,40229,71
80-20-000250,2020-01-02 02:00:00,2020-01-02 01:53:00,ASSAULT,STRANGULATION 1ST DEGREE,13A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3300 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211,72
80-20-000369,2020-01-02 13:55:00,2019-10-20 09:00:00,THEFT/LARCENY,TBUT OR DISP FROM BUILDING < $500,23D,PART I,COMPLETED,3RD DIVISION,315,DEPARTMENT / DISCOUNT STORE                  ,9000 BLOCK DIXIE HWY                                        ,LOUISVILLE,40258,73
80-20-000068,2020-01-01 09:58:00,2020-01-01 02:30:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,1400 BLOCK S SHELBY ST                                      ,LOUISVILLE,40217,74
80-20-000251,2020-01-02 02:40:00,2019-12-30 20:05:00,OTHER,RECOVERY OF STOLEN VEHICLE-OUT OF JURISDICTION,999,,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,4600 BLOCK W MARKET ST                                      ,LOUISVILLE,40212,75
80-20-000370,2020-01-02 14:49:00,2020-01-02 13:30:00,THEFT/LARCENY,TBUT OR DISP SHOPLIFTING < $500,23C,PART I,COMPLETED,8TH DIVISION,812,DEPARTMENT / DISCOUNT STORE                  ,4100 BLOCK TOWNE CENTER DR                                  ,LOUISVILLE,40241,76
80-20-000192,2020-01-01 18:05:00,2020-01-01 17:55:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME                             ,9400 BLOCK SLAYTON CT                                       ,LOUISVILLE,40229,77
80-20-000455,2020-01-02 19:25:00,2020-01-02 19:16:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-COCAINE,35A,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 27TH ST / W MADISON ST                                    ,LOUISVILLE,40211,78
80-20-000307,2020-01-02 11:11:00,2019-12-23 08:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,6TH DIVISION,625,OTHER RESIDENCE (APARTMENT/CONDO)            ,2200 BLOCK LIVERPOOL LN                                     ,LOUISVILLE,40218,79
80-20-000011,2020-01-01 02:03:00,2020-01-01 01:54:00,ASSAULT,STRANGULATION 1ST DEGREE,13A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,4600 BLOCK PLANE TREE DR                                    ,LOUISVILLE,40219,80
80-20-000127,2020-01-01 13:59:00,2019-12-31 22:30:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,1300 BLOCK DIXIE HWY                                        ,LOUISVILLE,40210,81
80-20-000308,2020-01-02 11:51:00,2020-01-02 11:45:00,THEFT/LARCENY,"TBUT OR DISP FROM BLDG $500 OR > BUT < $10,000",23D,PART I,COMPLETED,1ST DIVISION,135,DRUG STORE/DR`S OFFICE/HOSPITAL              ,500 BLOCK S JACKSON ST                                      ,LOUISVILLE,40202,82
80-20-000013,2020-01-01 02:07:00,2020-01-01 01:03:00,OTHER,VIOLATION OF CONDITIONS OF RELEASE,90Z,PART II,COMPLETED,3RD DIVISION,331,OTHER RESIDENCE (APARTMENT/CONDO)            ,6200 BLOCK LEDGEWOOD PKY                                    ,LOUISVILLE,40214,83
80-20-000252,2020-01-02 03:29:00,2020-01-02 02:30:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,10600 BLOCK JEFFERSON HILL RD                               ,LOUISVILLE,40118,84
80-20-000456,2020-01-02 21:21:00,2020-01-02 17:30:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,5TH DIVISION,512,GOVERNMENT / PUBLIC BUILDING                 ,800 BLOCK BARRET AVE                                        ,LOUISVILLE,40204,85
80-20-000193,2020-01-01 18:40:00,2020-01-01 18:35:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,4900 BLOCK SIMPSON DR                                       ,LOUISVILLE,40218,86
80-20-000372,2020-01-02 14:30:00,2020-01-02 14:21:00,DRUGS/ALCOHOL VIOLATIONS,DRUG PARAPHERNALIA - BUY/POSSESS,35B,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,200 BLOCK W ST CATHERINE ST                                 ,LOUISVILLE,40203,87
80-20-000069,2020-01-01 10:24:00,2020-01-01 04:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,S 36TH ST / HALE AVE                                        ,LOUISVILLE,40211,88
80-20-000457,2020-01-02 17:30:00,2020-01-02 17:30:00,OTHER,OVERDOSE,999,,COMPLETED,4TH DIVISION,436,OTHER RESIDENCE (APARTMENT/CONDO)            ,300 BLOCK DOUGLAS PARK                                      ,LOUISVILLE,40214,89
80-20-000195,2020-01-01 19:34:00,2019-12-31 15:00:00,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME                             ,700 BLOCK S 3RD ST                                          ,LOUISVILLE,40202,90
80-20-000372,2020-01-02 14:30:00,2020-01-02 14:21:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-HEROIN,35A,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,200 BLOCK W ST CATHERINE ST                                 ,LOUISVILLE,40203,91
80-20-000253,2020-01-02 03:36:00,2020-01-02 03:26:00,MOTOR VEHICLE THEFT,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE,240,PART I,COMPLETED,7TH DIVISION,735,RESIDENCE / HOME                             ,5000 BLOCK MILE OF SUNSHINE DR                              ,LOUISVILLE,40219,92
