INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-20-033921,2020-06-09 10:05:00,2020-06-09 00:30:00,BURGLARY,BURGLARY - 3RD DEGREE,220,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1300 BLOCK CLARA AVE                                        ,LOUISVILLE,40215,28842
80-20-033922,2020-06-09 09:52:00,2020-06-09 09:00:00,ASSAULT,TERRORISTIC THREATENING 3RD DEGREE,13C,PART II,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,6700 BLOCK MARIAN DR                                        ,LOUISVILLE,40216,28843
80-20-033923,2020-06-09 10:08:00,2020-06-05 19:40:00,THEFT/LARCENY,THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE MISD,23H,PART I,COMPLETED,7TH DIVISION,723,CONVENIENCE STORE                            ,7000 BLOCK SHEPHERDSVILLE RD                                ,LOUISVILLE,40219,28844
80-20-033924,2020-06-09 10:17:00,2020-06-08 18:00:00,THEFT/LARCENY,THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE MISD,23H,PART I,COMPLETED,6TH DIVISION,624,RESTAURANT                                   ,5200 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40291,28845
80-20-033925,2020-06-09 10:19:00,2020-06-09 10:19:00,FRAUD,FRAUD USE OF CREDIT CARD AFTER REPT LOST/STOLEN U/$500 MISD,26B,PART II,COMPLETED,5TH DIVISION,512,CONVENIENCE STORE                            ,1000 BLOCK LEXINGTON RD                                     ,LOUISVILLE,40204,28846
80-20-033926,2020-06-09 10:15:00,2020-06-09 09:40:00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,1900 BLOCK OWEN ST                                          ,LOUISVILLE,40203,28847
80-20-033927,2020-06-09 10:22:00,2020-06-03 20:25:00,FRAUD,FRAUDULENT USE OF CREDIT CARDS U/$500 W/6 MO PERIOD,26B,PART II,COMPLETED,5TH DIVISION,512,SERVICE / GAS STATION                        ,1800 BLOCK EDENSIDE AVE                                     ,LOUISVILLE,40204,28848
80-20-033929,2020-06-09 10:30:00,2020-06-06 00:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,6TH DIVISION,611,RESIDENCE / HOME                             ,1200 BLOCK BOURBON AVE                                      ,LOUISVILLE,40213,28849
80-20-500301,2020-06-08 12:42:00,2020-06-05 18:15:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,8TH DIVISION,824,RESTAURANT                                   ,500 BLOCK N ENGLISH STATION RD                              ,MIDDLETOWN,40223,28850
80-20-500302,2020-06-08 15:27:00,2020-06-06 23:32:00,THEFT/LARCENY,TBUT OR DISP ALL OTHERS <  $500,23H,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,1600 BLOCK MAPLE ST                                         ,LOUISVILLE,40210,28851
80-20-033930,2020-06-09 10:41:00,2019-05-16 10:41:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $10,000 BUT < $1,000,000",240,PART I,COMPLETED,3RD DIVISION,323,RESIDENCE / HOME                             ,7400 BLOCK OLD NORTH CHURCH RD                              ,LOUISVILLE,40214,28852
80-20-033930,2020-06-09 10:41:00,2019-05-16 10:41:00,THEFT/LARCENY,"RECEIVING STOLEN PROPERTY $10,000 OR MORE",280,PART II,COMPLETED,3RD DIVISION,323,CONVENIENCE STORE                            ,7400 BLOCK OLD NORTH CHURCH RD                              ,LOUISVILLE,40214,28853
80-20-033931,2020-06-09 10:41:00,2020-06-08 19:30:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,2800 BLOCK NORTHWESTERN PKY                                 ,LOUISVILLE,40212,28854
80-20-033933,2020-06-09 10:44:00,2020-06-08 11:00:00,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,8TH DIVISION,812,PARKING LOT / GARAGE                         ,10300 BLOCK WESTPORT RD                                     ,LOUISVILLE,40241,28855
80-20-033934,2020-06-09 10:53:00,2020-06-07 20:00:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE                         ,S 15TH ST / W MUHAMMAD ALI BLVD                             ,LOUISVILLE,40203,28856
80-20-033935,2020-06-09 10:39:00,2020-06-09 10:15:00,ASSAULT,HARASSMENT (NO PHYSICAL CONTACT),13C,PART II,COMPLETED,2ND DIVISION,236,"SPECIALTY STORE (TV, FUR, ETC)               ",4300 BLOCK CANE RUN RD                                      ,LOUISVILLE,40216,28857
80-20-033732,2020-06-08 12:31:00,2020-06-08 12:31:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,200 BLOCK CECIL AVE                                         ,LOUISVILLE,40212,28858
80-20-033938,2020-06-09 11:36:00,2020-06-08 11:36:00,THEFT/LARCENY,TBUT OR DISP FIREARM,23H,PART I,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,600 BLOCK RAWLINGS ST                                       ,LOUISVILLE,40217,28859
80-20-033734,2020-06-08 13:11:00,2020-06-07 18:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP PARTS FROM VEHICLE < $500,23G,PART I,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY                       ,@I65S TO I265S                                              ,LOUISVILLE,40219,28860
80-20-033300,2020-06-06 05:14:00,2020-06-06 05:14:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,6TH DIVISION,624,HIGHWAY / ROAD / ALLEY                       ,S HURSTBOURNE PKY / SIX MILE LN                             ,LOUISVILLE,40220,28861
80-20-033783,2020-06-08 17:22:00,2020-06-08 17:22:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP PARTS FROM VEHICLE $500 OR > BUT < $10,000",23G,PART I,COMPLETED,6TH DIVISION,624,COMMERCIAL / OFFICE BUILDING                 ,4700 BLOCK SHEPHERDSVILLE RD                                ,LOUISVILLE,40218,28862
80-20-033630,2020-06-08 01:29:00,2020-06-08 01:27:00,ASSAULT,WANTON ENDANGERMENT-1ST DEGREE,13A,PART I,COMPLETED,3RD DIVISION,331,OTHER RESIDENCE (APARTMENT/CONDO)            ,5300 BLOCK BULRUSH CT                                       ,LOUISVILLE,40258,28863
80-20-033842,2020-06-08 22:40:00,2020-06-08 22:33:00,OTHER,DOMESTIC ABUSE DUTIES OF LAW ENFORCEMENT,90Z,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3000 BLOCK MONTANA AVE                                      ,LOUISVILLE,40208,28864
80-20-033843,2020-06-08 21:48:00,2020-06-08 21:30:00,ASSAULT,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),13B,PART II,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME                             ,10400 BLOCK HILLPARK DR                                     ,LOUISVILLE,40229,28865
80-20-033845,2020-06-08 10:11:00,2020-06-08 08:40:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,5TH DIVISION,521,RESIDENCE / HOME                             ,2200 BLOCK PAYNE ST                                         ,LOUISVILLE,40206,28866
80-20-033846,2020-06-08 22:33:00,2020-06-08 21:33:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1800 BLOCK CARL CT                                          ,LOUISVILLE,40215,28867
