INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-17-055936,7/11/17 8:49 PM,7/11/17 8:49 PM,TBUT OR DISP ALL OTHERS <  $500,THEFT/LARCENY,23H,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME,600 BLOCK WINKLER AVE                                       ,LOUISVILLE,40208,102,1
80-17-055900,7/11/17 5:47 PM,7/11/17 5:47 PM,VIOLATION OF KENTUCKY EPO/DVO,ASSAULT,90F,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME,2900 BLOCK BANK ST                                          ,LOUISVILLE,40212,217,2
80-17-055660,7/10/17 11:37 PM,7/10/17 6:30 PM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,1ST DIVISION,123,PARKING LOT / GARAGE,600 BLOCK S 4TH ST                                          ,LOUISVILLE,40202,103,3
80-17-055948,7/11/17 9:50 PM,7/11/17 8:34 PM,ASSAULT - 4TH DEGREE (MINOR INJURY),ASSAULT,13B,PART II,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME,3300 BLOCK HUDSON AVE                                       ,LOUISVILLE,40211,104,4
80-17-056076,7/13/17 10:53 AM,7/12/17 8:00 AM,HARASSING COMMUNICATIONS,OTHER,90Z,PART II,COMPLETED,7TH DIVISION,736,CHILD DAYCARE FACILITY,9200 BLOCK BLUE LICK RD                                     ,LOUISVILLE,40229,218,5
80-17-050036,6/21/17 11:08 PM,6/21/17 11:08 PM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME,200 BLOCK S 43RD ST                                         ,LOUISVILLE,40212,219,6
80-17-055937,7/11/17 8:23 PM,7/11/17 7:51 PM,TERRORISTIC THREATENING 3RD DEGREE,ASSAULT,13C,PART II,COMPLETED,8TH DIVISION,812,DEPARTMENT / DISCOUNT STORE,10300 BLOCK WESTPORT RD                                     ,LOUISVILLE,40241,105,7
80-17-055937,7/11/17 8:23 PM,7/11/17 7:51 PM,VIOLATION OF KENTUCKY EPO/DVO,ASSAULT,90F,PART II,COMPLETED,8TH DIVISION,812,DEPARTMENT / DISCOUNT STORE,10300 BLOCK WESTPORT RD                                     ,LOUISVILLE,40241,106,8
80-17-055249,7/9/17 1:36 PM,7/9/17 1:36 PM,POSSESSION  OF SYNTHETIC DRUGS,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY,N 26TH ST / BANK ST                                         ,LOUISVILLE,40212,220,9
80-17-056364,7/13/17 11:26 AM,7/12/17 8:00 PM,BURGLARY - 3RD DEGREE,BURGLARY,220,PART I,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME,8200 BLOCK MINOR LN                                         ,LOUISVILLE,40219,221,10
80-17-055956,7/11/17 9:01 PM,6/20/17 8:00 AM,"TBUT OR DISP ALL OTHERS > $500 BUT < $10,000",THEFT/LARCENY,23H,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME,5100 BLOCK DOYLE DR                                         ,LOUISVILLE,40216,107,11
80-17-055947,7/11/17 7:54 PM,7/11/17 6:30 PM,ASSAULT - 4TH DEGREE (MINOR INJURY),ASSAULT,13B,PART II,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME,1800 BLOCK BEECH ST                                         ,LOUISVILLE,40210,108,12
80-17-054393,7/6/17 1:21 PM,7/6/17 1:21 PM,CRIMINAL POSSESSION FORGED INSTRUMENT-1ST DEGREE-IDENTIFY,FRAUD,250,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY,S 38TH ST / W MARKET ST                                     ,LOUISVILLE,40212,222,13
80-17-056381,7/13/17 11:41 AM,7/12/17 11:59 PM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,5TH DIVISION,521,PARKING LOT / GARAGE,800 BLOCK RIVER CREST DR                                    ,LOUISVILLE,40206,223,14
80-17-055957,7/11/17 10:00 PM,7/11/17 8:15 PM,TBUT OR DISP CONTENTS FROM VEH < $500,VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,7TH DIVISION,711,PARKING LOT / GARAGE,10200 BLOCK MARY DELL LN                                    ,LOUISVILLE,40299,109,15
80-17-055959,7/11/17 9:23 PM,7/10/17 9:00 PM,TBUT OR DISP BICYCLES U/$500,THEFT/LARCENY,23H,PART I,COMPLETED,4TH DIVISION,424,PARKING LOT / GARAGE,400 BLOCK IOWA AVE                                          ,LOUISVILLE,40208,110,16
80-17-056393,7/8/17 1:01 PM,6/29/17 12:00 PM,TBUT OR DISP FROM BUILDING < $500,THEFT/LARCENY,23D,PART I,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME,500 BLOCK LOCHER ALY                                        ,LOUISVILLE,40212,224,17
80-17-053818,7/4/17 6:39 PM,7/4/17 6:30 PM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,4TH DIVISION,423,OTHER RESIDENCE (APARTMENT/CONDO),2900 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40215,225,18
80-17-056413,7/13/17 1:05 PM,7/12/17 8:00 PM,CRIMINAL MISCHIEF-2ND DEGREE,VANDALISM,290,PART II,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY,2200 BLOCK W BURNETT AVE                                    ,LOUISVILLE,40210,267,19
80-17-084478,10/16/17 1:00 PM,10/16/17 2:00 AM,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,331,OTHER RESIDENCE (APARTMENT/CONDO),5100 BLOCK VALIANT DR                                       ,LOUISVILLE,40216,12885,20
80-17-083574,10/12/17 11:19 PM,10/12/17 11:19 PM,VIOLATION OF CONDITIONS OF RELEASE,OTHER,90Z,PART II,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME,3800 BLOCK PARKER AVE                                       ,LOUISVILLE,40212,1,21
80-17-056078,7/12/17 12:33 PM,7/11/17 11:00 PM,UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE,MOTOR VEHICLE THEFT,240,PART I,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME,4900 BLOCK WEST SIDE DR                                     ,LOUISVILLE,40219,152,22
80-17-055507,7/10/17 1:19 PM,7/10/17 1:19 PM,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-HEROIN,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME,2700 BLOCK W MADISON ST                                     ,LOUISVILLE,40211,52,23
80-17-057531,7/17/17 12:38 PM,7/17/17 6:55 AM,THEFT OF MAIL MATTER,THEFT/LARCENY,23H,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME,4700 BLOCK S 6TH ST                                         ,LOUISVILLE,40214,24699,24
80-17-055200,7/9/17 9:00 AM,7/9/17 9:00 AM,VIOLATION OF KENTUCKY EPO/DVO,ASSAULT,90F,PART II,COMPLETED,7TH DIVISION,724,RESIDENCE / HOME,10800 BLOCK CAMPION CT                                      ,LOUISVILLE,40229,111,25
80-17-084696,10/17/17 12:52 AM,10/17/17 12:52 AM,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,ASSAULT,13B,PART II,COMPLETED,5TH DIVISION,521,RESIDENCE / HOME,2600 BLOCK LE BLANC CT                                      ,LOUISVILLE,40206,12886,26
80-17-055974,7/11/17 10:17 PM,7/11/17 8:15 PM,MISSING PERSONS,OTHER,90Z,PART II,COMPLETED,6TH DIVISION,625,RESIDENCE / HOME,2300 BLOCK GOLDSMITH LN                                     ,LOUISVILLE,40218,153,27
80-17-055091,7/8/17 6:53 PM,7/8/17 6:53 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY,LARKWOOD AVE / SOUTHWESTERN PKY                             ,LOUISVILLE,40212,268,28
80-17-083549,10/12/17 9:57 PM,10/12/17 9:20 PM,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,4TH DIVISION,412,PARKING LOT / GARAGE,2300 BLOCK S FLOYD ST                                       ,LOUISVILLE,40208,2,29
80-17-058411,7/20/17 5:51 AM,7/20/17 4:30 AM,SEXUAL ABUSE - 1ST DEGREE,SEX CRIMES,11D,PART II,COMPLETED,2ND DIVISION,223,RENTAL / STORAGE FACILITY,1500 BLOCK DUMESNIL ST                                      ,LOUISVILLE,40210,24700,30
80-17-055507,7/10/17 1:19 PM,7/10/17 1:19 PM,DRUG PARAPHERNALIA - BUY/POSSESS,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME,2700 BLOCK W MADISON ST                                     ,LOUISVILLE,40211,53,31
80-17-056392,7/14/17 1:04 AM,6/29/17 10:00 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,7TH DIVISION,723,PARKING LOT / GARAGE,6400 BLOCK OUTER LOOP                                       ,LOUISVILLE,40228,226,32
80-17-083584,10/13/17 12:45 AM,10/13/17 12:15 AM,WANTON ENDANGERMENT-1ST DEGREE,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME,4400 BLOCK CHARLOTTE ANN DR                                 ,LOUISVILLE,40216,3,33
80-17-055646,7/12/17 4:51 PM,7/11/17 2:15 PM,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,FRAUD,26C,PART II,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME,5300 BLOCK SOUTHDALE RD                                     ,LOUISVILLE,40214,269,34
80-17-056083,7/13/17 1:14 AM,5/1/16 12:01 AM,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT,FRAUD,26C,PART II,COMPLETED,1ST DIVISION,135,OTHER RESIDENCE (APARTMENT/CONDO),500 BLOCK S CLAY ST                                         ,LOUISVILLE,40202,54,35
80-17-053589,7/3/17 9:38 PM,7/3/17 9:38 PM,POSSESSION  OF SYNTHETIC DRUGS,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY,FINZER ST / S SHELBY ST                                     ,LOUISVILLE,40203,112,36
80-17-084696,10/17/17 12:52 AM,10/17/17 12:52 AM,TERRORISTIC THREATENING 3RD DEGREE,ASSAULT,13C,PART II,COMPLETED,5TH DIVISION,521,RESIDENCE / HOME,2600 BLOCK LE BLANC CT                                      ,LOUISVILLE,40206,12887,37
