INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-06-107478,3/15/06 3:20 AM,2/25/06 12:00 AM,CACU UNSUBSTANTIATED CASES,OTHER,0,,ATTEMPTED,3RD DIVISION,316,RESIDENCE / HOME,7000 BLOCK SHIPLEY LN                                       ,LOUISVILLE,40272,61295,1
80-06-209101,3/11/06 3:00 PM,3/11/06 3:00 PM,BURGLARY - 2ND DEGREE,BURGLARY,220,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME,3800 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214,61296,2
80-06-105717,2/25/06 7:30 AM,2/25/06 7:30 AM,TRAF CONT SUB-1ST DEGREE-1ST OFFENSE-COCAINE,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE,4600 BLOCK POPLAR LEVEL RD                                  ,LOUISVILLE,40213,61297,3
80-06-105717,2/25/06 7:30 AM,2/25/06 7:30 AM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE,4600 BLOCK POPLAR LEVEL RD                                  ,LOUISVILLE,40213,61298,4
80-06-105717,2/25/06 7:30 AM,2/25/06 7:30 AM,DRUG PARAPHERNALIA-BUY/POSSESS-1ST OFFENSE,DRUGS/ALCOHOL VIOLATIONS,35B,PART II,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE,4600 BLOCK POPLAR LEVEL RD                                  ,LOUISVILLE,40213,61299,5
80-06-209097,3/12/06 4:30 AM,3/11/06 7:00 PM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY,900 BLOCK S 7TH ST                                          ,LOUISVILLE,40203,61300,6
80-06-208648,3/9/06 4:30 AM,3/9/06 1:00 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME,3600 BLOCK HALE AVE                                         ,LOUISVILLE,40211,61301,7
80-06-106451,3/4/06 4:20 PM,3/4/06 12:02 AM,THEFT BY UNLAWFUL TAKING/DISP-CONTENTS FROM AUTO - MISD,VEHICLE BREAK-IN/THEFT,23F,PART I,COMPLETED,8TH DIVISION,815,HIGHWAY / ROAD / ALLEY,600 BLOCK HATHERLEIGH LN                                    ,LOUISVILLE,40222,61302,8
80-06-209477,3/15/06 9:38 AM,11/2/05 12:00 AM,FALSE STATEMENT/ID/FINANCIAL CONDITION TO GET CREDIT CARD,FRAUD,26B,PART II,COMPLETED,METRO LOUISVILLE,METRO,OTHER / UNKNOWN,COMMUNITY AT LARGE,LOUISVILLE,40056,61303,9
80-06-208542,3/8/06 7:44 AM,3/8/06 2:30 AM,CRIMINAL MISCHIEF-2ND DEGREE,VANDALISM,290,PART II,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME,4700 BLOCK DOVER RD                                         ,LOUISVILLE,40216,61304,10
80-06-209090,3/12/06 2:00 AM,3/11/06 1:00 PM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY,1100 BLOCK WELLER AVE                                       ,LOUISVILLE,40208,61305,11
80-06-209463,6/15/06 4:30 AM,6/15/06 4:30 AM,ANY NON CRIMINAL CHARGE NOT COVERED BY THESE CODES,OTHER,90Z,PART II,COMPLETED,5TH DIVISION,512,RESIDENCE / HOME,600 BLOCK BARRET AVE                                        ,LOUISVILLE,40204,61306,12
