NAME,total_population,median_age,median_household_income,population_below_poverty,median_home_value,rent_burden_50pct_plus,no_schooling,associates_degree,bachelors_degree,masters_degree,professional_degree,unemployed_population,single_parent_households,moved_past_year,state,zip_code,year,poverty_rate,pct_bachelors_plus,unemployment_rate,mobility_rate
ZCTA5 40228,17808,40.6,74025,1401,210500,181,190,1148,2029,871,151,364,743,15138,,40228,2022,7.87,17.13,2.04,85.01
ZCTA5 40229,39621,35.9,75827,4696,179800,500,512,2633,4177,1586,122,884,1810,33254,,40229,2022,11.85,14.85,2.23,83.93
ZCTA5 40231,0,,,0,,0,0,0,0,0,0,0,0,0,,40231,2022,,,,
ZCTA5 40241,30986,40.7,95309,1637,334400,750,193,1835,7297,3603,768,737,1151,25571,,40241,2022,5.28,37.66,2.38,82.52
ZCTA5 40242,11544,35.9,78994,843,277000,254,157,746,2101,1132,141,285,641,9344,,40242,2022,7.3,29.23,2.47,80.94
ZCTA5 40243,11943,48.1,85716,695,288100,405,22,750,3002,1293,174,396,470,9969,,40243,2022,5.82,37.42,3.32,83.47
ZCTA5 40245,38861,40.2,118333,2240,418000,623,240,1623,9704,4737,789,757,1118,32938,,40245,2022,5.76,39.19,1.95,84.76
ZCTA5 40258,27487,37.6,62948,4139,157800,853,200,2161,1796,671,20,666,2052,24272,,40258,2022,15.06,9.05,2.42,88.3
ZCTA5 40272,38114,38.6,64617,5183,163400,1256,396,2107,3165,1347,283,924,2488,33712,,40272,2022,13.6,12.58,2.42,88.45
ZCTA5 40291,40888,39.7,81059,3476,238600,675,178,3329,5918,2378,309,967,1982,34618,,40291,2022,8.5,21.05,2.36,84.67
ZCTA5 40299,40816,39.8,83783,2042,259400,640,116,2921,7661,3643,304,684,1606,36051,,40299,2022,5.0,28.44,1.68,88.33
ZCTA5 40202,7109,39.9,29382,1955,340000,180,115,278,755,454,220,132,187,4293,,40202,2023,27.5,20.1,1.86,60.39
ZCTA5 40203,17540,34.8,31430,6697,179300,1706,382,1065,1757,748,53,798,2031,13252,,40203,2023,38.18,14.58,4.55,75.55
ZCTA5 40204,14018,38.8,70706,1326,314700,690,48,556,3707,2058,539,402,538,10642,,40204,2023,9.46,44.97,2.87,75.92
ZCTA5 40205,24335,42.5,98990,1400,361900,450,40,1053,5739,3617,511,387,827,21120,,40205,2023,5.75,40.55,1.59,86.79
ZCTA5 40206,20345,38.7,72543,1960,276100,1125,62,933,4605,2414,481,542,662,16628,,40206,2023,9.63,36.86,2.66,81.73
ZCTA5 40207,28633,42.6,98583,1565,401500,839,104,1028,7655,4414,780,450,985,24107,,40207,2023,5.47,44.87,1.57,84.19
ZCTA5 40208,15287,22.5,37714,4540,153100,1151,205,413,1072,889,150,724,806,10330,,40208,2023,29.7,13.81,4.74,67.57
ZCTA5 40209,571,39.0,52697,115,128200,18,14,135,23,0,0,30,0,559,,40209,2023,20.14,4.03,5.25,97.9
ZCTA5 40210,14226,34.0,35841,5206,93400,711,274,829,498,329,13,822,2149,12325,,40210,2023,36.59,5.9,5.78,86.64
ZCTA5 40211,21165,36.9,32598,8339,97900,1605,117,1167,952,394,59,1313,2810,18878,,40211,2023,39.4,6.64,6.2,89.19
ZCTA5 40212,15160,38.5,35389,5258,78100,1035,170,584,766,383,0,674,1473,14100,,40212,2023,34.68,7.58,4.45,93.01
ZCTA5 40213,15805,40.1,60734,2559,169000,627,193,1130,1671,849,115,496,1123,14073,,40213,2023,16.19,16.67,3.14,89.04
ZCTA5 40214,45986,35.6,53563,8503,176700,1977,960,2573,4397,2008,127,963,3097,39464,,40214,2023,18.49,14.2,2.09,85.82
ZCTA5 40215,19444,37.2,42762,5314,106500,877,356,823,1014,601,19,1025,1778,16370,,40215,2023,27.33,8.4,5.27,84.19
ZCTA5 40216,43764,39.2,50211,8425,154500,1509,695,2761,3040,869,58,1302,4003,38048,,40216,2023,19.25,9.06,2.98,86.94
ZCTA5 40217,11831,35.4,68573,1584,220700,628,17,676,2514,1208,349,353,357,9806,,40217,2023,13.39,34.41,2.98,82.88
ZCTA5 40218,33292,33.5,56191,4514,195600,1317,498,1474,4711,1330,61,637,3058,27268,,40218,2023,13.56,18.33,1.91,81.91
ZCTA5 40219,39107,35.0,52271,6746,186000,1633,362,2768,3669,946,130,843,3000,32912,,40219,2023,17.25,12.13,2.16,84.16
ZCTA5 40220,33893,39.2,73502,2914,249700,758,243,2479,6742,3336,639,442,1638,28194,,40220,2023,8.6,31.62,1.3,83.19
ZCTA5 40221,0,,,0,,0,0,0,0,0,0,0,0,0,,40221,2023,,,,
ZCTA5 40222,21634,40.6,81623,1370,347000,820,106,1064,5362,2572,445,365,670,18441,,40222,2023,6.33,38.73,1.69,85.24
ZCTA5 40223,23264,42.3,97033,1414,343600,449,170,1106,4813,3090,706,492,849,20261,,40223,2023,6.08,37.01,2.11,87.09
ZCTA5 40228,18491,39.5,75762,1280,220200,65,211,1059,2755,840,151,342,666,16054,,40228,2023,6.92,20.26,1.85,86.82
ZCTA5 40229,40015,36.3,78877,4981,197300,621,579,2810,4485,1916,133,902,1685,33761,,40229,2023,12.45,16.33,2.25,84.37
ZCTA5 40231,0,,,0,,0,0,0,0,0,0,0,0,0,,40231,2023,,,,
ZCTA5 40241,30910,41.4,95775,1611,349200,676,179,1858,7252,3543,835,635,1046,25619,,40241,2023,5.21,37.63,2.05,82.88
ZCTA5 40242,11099,36.3,79201,876,293200,298,173,687,2118,1190,152,318,609,8930,,40242,2023,7.89,31.17,2.87,80.46
ZCTA5 40243,12049,47.8,75859,879,297900,509,8,802,2972,1217,150,432,599,10105,,40243,2023,7.3,36.01,3.59,83.87
ZCTA5 40245,39261,40.8,120171,2406,432900,673,284,1623,9708,4564,886,560,1113,34080,,40245,2023,6.13,38.61,1.43,86.8
ZCTA5 40258,26590,41.1,66263,4447,173100,925,215,2260,1923,702,45,731,1804,23309,,40258,2023,16.72,10.04,2.75,87.66
ZCTA5 40272,37595,38.8,66382,5500,169700,970,371,2473,2834,1538,197,873,2684,33131,,40272,2023,14.63,12.15,2.32,88.13
ZCTA5 40291,41506,39.2,81576,3565,264700,687,234,3261,5735,2548,258,762,1654,35865,,40291,2023,8.59,20.58,1.84,86.41
ZCTA5 40299,41724,39.7,85419,2356,274900,766,206,2788,7498,3937,325,666,1692,36505,,40299,2023,5.65,28.19,1.6,87.49
